"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
" Public Universities:","","","","","","","","","","","","","","","","",
"Chicago State University","","","","","","","","","","","","","","","","",
"Undergraduate","2,136","751","5","0","14","8","185","104","1","0","46","46","0","0","85","68","311","152","2,783","1,129","0","3,912","1",
"Graduate","512","186","5","1","62","40","47","20","1","0","104","75","0","0","93","114","26","13","850","449","0","1,299","2",
"Total","2,648","937","10","1","76","48","232","124","2","0","150","121","0","0","178","182","337","165","3,633","1,578","0","5,211","4",
"Eastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","889","527","11","6","35","27","230","185","3","2","3,191","2,118","103","58","30","43","104","78","4,596","3,044","0","7,640","1",
"Graduate","53","31","1","3","13","5","18","11","0","1","619","302","6","2","71","129","2","6","783","490","0","1,273","2",
"Total","942","558","12","9","48","32","248","196","3","3","3,810","2,420","109","60","101","172","106","84","5,379","3,534","0","8,913","4",
"Governors State University","","","","","","","","","","","","","","","","",
"Undergraduate","1,002","322","7","4","30","26","257","118","4","1","848","528","41","26","14","18","214","125","2,417","1,168","0","3,585","1",
"Graduate","718","180","4","0","43","18","78","35","0","3","668","234","29","5","30","56","66","24","1,636","555","0","2,191","2",
"Total","1,720","502","11","4","73","44","335","153","4","4","1,516","762","70","31","44","74","280","149","4,053","1,723","0","5,776","4",
"Illinois State University","","","","","","","","","","","","","","","","",
"Undergraduate","795","539","12","10","224","171","904","686","12","4","7,695","6,441","249","197","55","84","30","47","9,976","8,179","0","18,155","1",
"Graduate","65","55","1","1","21","18","78","40","1","1","1,219","613","21","11","150","139","17","9","1,573","887","0","2,460","2",
"Total","860","594","13","11","245","189","982","726","13","5","8,914","7,054","270","208","205","223","47","56","11,549","9,066","0","20,615","4",
"Northeastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","506","359","11","7","401","382","1,792","1,212","13","12","1,583","1,426","87","53","236","149","93","90","4,722","3,690","0","8,412","1",
"Graduate","121","62","2","3","66","56","159","97","1","0","620","392","16","11","88","84","51","34","1,124","739","0","1,863","2",
"Total","627","421","13","10","467","438","1,951","1,309","14","12","2,203","1,818","103","64","324","233","144","124","5,846","4,429","0","10,275","4",
"Northern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","1,435","1,073","10","13","316","447","1,097","1,126","6","11","4,289","4,676","254","227","96","164","103","92","7,606","7,829","0","15,435","1",
"Graduate","197","120","4","3","96","125","189","119","3","2","1,937","1,416","54","34","329","501","27","20","2,836","2,340","0","5,176","2",
"Total","1,632","1,193","14","16","412","572","1,286","1,245","9","13","6,226","6,092","308","261","425","665","130","112","10,442","10,169","0","20,611","4",
"Southern Illinois University Carbondale","","","","","","","","","","","","","","","","",
"Undergraduate","1,499","1,176","15","17","73","147","470","564","5","10","3,669","4,702","187","201","226","485","4","11","6,148","7,313","0","13,461","1",
