"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
"Graduate","278","162","8","6","55","53","80","85","3","0","1,279","1,317","46","40","418","692","3","3","2,170","2,358","0","4,528","2",
"Total","1,777","1,338","23","23","128","200","550","649","8","10","4,948","6,019","233","241","644","1,177","7","14","8,318","9,671","0","17,989","4",
"Southern Illinois University Edwardsville","","","","","","","","","","","","","","","","",
"Undergraduate","1,069","603","12","16","93","105","242","193","5","4","4,309","4,136","204","152","50","75","70","83","6,054","5,367","0","11,421","1",
"Graduate","127","70","1","1","47","22","34","30","2","0","1,100","670","26","17","119","176","56","53","1,512","1,039","0","2,551","2",
"Total","1,196","673","13","17","140","127","276","223","7","4","5,409","4,806","230","169","169","251","126","136","7,566","6,406","0","13,972","4",
"U of I at Chicago","","","","","","","","","","","","","","","","",
"Undergraduate","813","504","10","8","1,821","1,979","2,373","2,038","16","29","2,811","3,179","221","196","195","219","130","176","8,390","8,328","0","16,718","1",
"Graduate","657","220","6","5","844","585","630","394","12","6","3,224","1,997","118","83","967","1,215","162","126","6,620","4,631","0","11,251","2",
"Total","1,470","724","16","13","2,665","2,564","3,003","2,432","28","35","6,035","5,176","339","279","1,162","1,434","292","302","15,010","12,959","0","27,969","4",
"U of I at Springfield","","","","","","","","","","","","","","","","",
"Undergraduate","282","160","2","2","40","67","102","85","2","1","974","1,021","51","31","63","60","36","59","1,552","1,486","0","3,038","1",
"Graduate","132","60","1","3","38","53","26","49","0","2","610","615","17","18","239","465","26","39","1,089","1,304","0","2,393","2",
"Total","414","220","3","5","78","120","128","134","2","3","1,584","1,636","68","49","302","525","62","98","2,641","2,790","0","5,431","4",
"U of I at Urbana/Champaign","","","","","","","","","","","","","","","","",
"Undergraduate","1,034","718","11","8","2,115","3,204","1,365","1,474","14","23","7,380","9,158","420","450","1,974","3,385","78","148","14,391","18,568","0","32,959","1",
"Graduate","268","166","12","8","366","436","292","253","7","3","2,668","2,571","98","81","1,956","2,646","213","137","5,880","6,301","0","12,181","2",
"Total","1,302","884","23","16","2,481","3,640","1,657","1,727","21","26","10,048","11,729","518","531","3,930","6,031","291","285","20,271","24,869","0","45,140","4",
"Western Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","1,049","738","8","5","40","51","457","456","4","4","2,850","3,234","136","89","78","134","132","180","4,754","4,891","0","9,645","1",
"Graduate","66","44","3","0","12","6","46","24","1","1","798","461","19","4","134","165","13","16","1,092","721","0","1,813","2",
"Total","1,115","782","11","5","52","57","503","480","5","5","3,648","3,695","155","93","212","299","145","196","5,846","5,612","0","11,458","4",
" Total Enrollment at Public Universities","","","","","","","","","","","","","","","","",
"Undergraduate","12,509","7,470","114","96","5,202","6,614","9,474","8,241","85","101","39,645","40,665","1,953","1,680","3,102","4,884","1,305","1,241","73,389","70,992","0","144,381","11",
"Graduate","3,194","1,356","48","34","1,663","1,417","1,677","1,157","31","19","14,846","10,663","450","306","4,594","6,382","662","480","27,165","21,814","0","48,979","12",
"Sector Total","15,703","8,826","162","130","6,865","8,031","11,151","9,398","116","120","54,491","51,328","2,403","1,986","7,696","11,266","1,967","1,721","100,554","92,806","0","193,360","14",
" Community Colleges:","","","","","","","","","","","","","","","","",
"Black Hawk College","","","","","","","","","","","","","","","","",
"Undergraduate","299","234","6","1","72","43","446","253","6","2","2,377","1,719","111","73","7","14","52","67","3,376","2,406","0","5,782","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","299","234","6","1","72","43","446","253","6","2","2,377","1,719","111","73","7","14","52","67","3,376","2,406","0","5,782","4",
"Carl Sandburg College","","","","","","","","","","","","","","","","",
"Undergraduate","58","61","3","3","11","6","82","52","1","1","1,087","581","44","24","0","0","40","29","1,326","757","0","2,083","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","58","61","3","3","11","6","82","52","1","1","1,087","581","44","24","0","0","40","29","1,326","757","0","2,083","4",
"CCC - Harold Washington College","","","","","","","","","","","","","","","","",
"Undergraduate","1,779","1,190","11","12","518","360","2,036","1,591","5","3","708","562","98","73","12","20","225","178","5,392","3,989","0","9,381","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,779","1,190","11","12","518","360","2,036","1,591","5","3","708","562","98","73","12","20","225","178","5,392","3,989","0","9,381","4",
"CCC - Harry S Truman College","","","","","","","","","","","","","","","","",
"Undergraduate","1,177","682","14","4","445","323","1,035","701","10","8","811","635","54","50","1","2","122","121","3,669","2,526","0","6,195","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,177","682","14","4","445","323","1,035","701","10","8","811","635","54","50","1","2","122","121","3,669","2,526","0","6,195","4",
"CCC - Kennedy-King College","","","","","","","","","","","","","","","","",
"Undergraduate","2,215","1,230","8","4","31","16","156","171","1","1","54","50","30","19","11","2","37","37","2,543","1,530","0","4,073","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","2,215","1,230","8","4","31","16","156","171","1","1","54","50","30","19","11","2","37","37","2,543","1,530","0","4,073","4",
"CCC - Malcolm X College","","","","","","","","","","","","","","","","",
"Undergraduate","2,304","766","5","4","99","63","921","393","1","4","192","141","39","27","0","0","88","60","3,649","1,458","0","5,107","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","2,304","766","5","4","99","63","921","393","1","4","192","141","39","27","0","0","88","60","3,649","1,458","0","5,107","4",
"CCC - Olive-Harvey College","","","","","","","","","","","","","","","","",
"Undergraduate","1,500","822","4","9","24","194","187","124","0","0","44","198","19","14","0","1","38","102","1,816","1,464","0","3,280","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,500","822","4","9","24","194","187","124","0","0","44","198","19","14","0","1","38","102","1,816","1,464","0","3,280","4",
"CCC - Richard J. Daley College","","","","","","","","","","","","","","","","",
"Undergraduate","889","481","3","3","24","27","1,582","1,082","0","1","153","186","28","19","0","0","88","55","2,767","1,854","0","4,621","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","889","481","3","3","24","27","1,582","1,082","0","1","153","186","28","19","0","0","88","55","2,767","1,854","0","4,621","4",
"CCC - Wilbur Wright College","","","","","","","","","","","","","","","","",
"Undergraduate","655","370","19","5","367","393","2,938","2,015","19","9","1,379","953","40","46","3","7","178","148","5,598","3,946","0","9,544","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","655","370","19","5","367","393","2,938","2,015","19","9","1,379","953","40","46","3","7","178","148","5,598","3,946","0","9,544","4",
"College of DuPage","","","","","","","","","","","","","","","","",
"Undergraduate","1,157","956","32","30","1,270","1,232","2,602","2,133","37","34","7,954","7,607","307","284","128","95","399","350","13,886","12,721","0","26,607","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,157","956","32","30","1,270","1,232","2,602","2,133","37","34","7,954","7,607","307","284","128","95","399","350","13,886","12,721","0","26,607","4",
"College of Lake County","","","","","","","","","","","","","","","","",
"Undergraduate","592","410","18","15","406","366","2,194","1,772","12","11","3,638","3,270","160","157","0","0","389","376","7,409","6,377","0","13,786","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","592","410","18","15","406","366","2,194","1,772","12","11","3,638","3,270","160","157","0","0","389","376","7,409","6,377","0","13,786","4",
"Danville Area Community College","","","","","","","","","","","","","","","","",
"Undergraduate","196","220","4","10","22","18","62","86","3","2","1,300","987","13","11","1","0","113","136","1,714","1,470","0","3,184","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","196","220","4","10","22","18","62","86","3","2","1,300","987","13","11","1","0","113","136","1,714","1,470","0","3,184","4",
"Elgin Community College","","","","","","","","","","","","","","","","",
"Undergraduate","245","185","13","14","339","272","1,645","1,241","2","5","2,488","2,344","113","131","19","16","137","142","5,001","4,350","0","9,351","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","245","185","13","14","339","272","1,645","1,241","2","5","2,488","2,344","113","131","19","16","137","142","5,001","4,350","0","9,351","4",
"Harper College","","","","","","","","","","","","","","","","",
"Undergraduate","327","213","9","9","677","671","1,591","1,196","44","46","4,168","3,686","224","197","2","0","291","234","7,333","6,252","0","13,585","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","327","213","9","9","677","671","1,591","1,196","44","46","4,168","3,686","224","197","2","0","291","234","7,333","6,252","0","13,585","4",
"Heartland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","243","234","6","2","42","41","113","113","5","2","2,043","1,737","107","71","8","5","94","94","2,661","2,299","0","4,960","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","243","234","6","2","42","41","113","113","5","2","2,043","1,737","107","71","8","5","94","94","2,661","2,299","0","4,960","4",
"Highland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","82","57","12","13","6","7","35","15","0","2","853","545","35","25","0","0","22","20","1,045","684","0","1,729","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","82","57","12","13","6","7","35","15","0","2","853","545","35","25","0","0","22","20","1,045","684","0","1,729","4",
"Illinois Central College","","","","","","","","","","","","","","","","",
"Undergraduate","634","397","21","7","111","68","201","179","8","9","4,114","3,555","130","113","0","0","214","229","5,433","4,557","0","9,990","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","634","397","21","7","111","68","201","179","8","9","4,114","3,555","130","113","0","0","214","229","5,433","4,557","0","9,990","4",
"Illinois Eastern - Frontier","","","","","","","","","","","","","","","","",
"Undergraduate","4","6","0","0","5","2","12","9","0","0","1,300","811","6","9","0","0","2","1","1,329","838","0","2,167","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","4","6","0","0","5","2","12","9","0","0","1,300","811","6","9","0","0","2","1","1,329","838","0","2,167","4",
"Illinois Eastern - Lincoln Trail","","","","","","","","","","","","","","","","",
"Undergraduate","9","13","1","1","7","5","6","11","0","1","553","402","10","3","0","0","1","0","587","436","0","1,023","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","9","13","1","1","7","5","6","11","0","1","553","402","10","3","0","0","1","0","587","436","0","1,023","4",
"Illinois Eastern - Olney Central","","","","","","","","","","","","","","","","",
"Undergraduate","5","11","3","0","6","8","10","8","0","0","791","476","16","4","0","0","2","0","833","507","0","1,340","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","5","11","3","0","6","8","10","8","0","0","791","476","16","4","0","0","2","0","833","507","0","1,340","4",
"Illinois Eastern - Wabash Valley","","","","","","","","","","","","","","","","",
"Undergraduate","7","42","0","9","15","20","18","36","3","4","1,267","2,739","20","33","0","4","2","3","1,332","2,890","0","4,222","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","7","42","0","9","15","20","18","36","3","4","1,267","2,739","20","33","0","4","2","3","1,332","2,890","0","4,222","4",
"Illinois Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","37","37","3","2","25","14","198","164","1","0","1,696","1,159","19","14","0","0","40","44","2,019","1,434","0","3,453","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","37","37","3","2","25","14","198","164","1","0","1,696","1,159","19","14","0","0","40","44","2,019","1,434","0","3,453","4",
"John A. Logan College","","","","","","","","","","","","","","","","",
"Undergraduate","257","272","7","9","35","35","89","78","13","8","3,230","2,158","36","28","0","0","230","233","3,897","2,821","0","6,718","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","257","272","7","9","35","35","89","78","13","8","3,230","2,158","36","28","0","0","230","233","3,897","2,821","0","6,718","4",
"John Wood Community College","","","","","","","","","","","","","","","","",
"Undergraduate","42","38","2","2","7","4","11","13","0","0","1,001","691","18","17","0","0","24","30","1,105","795","0","1,900","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","42","38","2","2","7","4","11","13","0","0","1,001","691","18","17","0","0","24","30","1,105","795","0","1,900","4",
"Joliet Junior College","","","","","","","","","","","","","","","","",
"Undergraduate","838","515","31","46","136","130","1,613","1,381","7","7","4,885","4,356","306","320","4","2","169","167","7,989","6,924","0","14,913","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","838","515","31","46","136","130","1,613","1,381","7","7","4,885","4,356","306","320","4","2","169","167","7,989","6,924","0","14,913","4",
"Kankakee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","322","174","5","6","27","11","205","122","0","5","1,444","943","20","13","1","4","35","35","2,059","1,313","0","3,372","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","322","174","5","6","27","11","205","122","0","5","1,444","943","20","13","1","4","35","35","2,059","1,313","0","3,372","4",
"Kaskaskia College","","","","","","","","","","","","","","","","",
"Undergraduate","134","180","20","10","21","14","46","54","2","0","2,619","1,661","46","45","4","3","19","28","2,911","1,995","0","4,906","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","134","180","20","10","21","14","46","54","2","0","2,619","1,661","46","45","4","3","19","28","2,911","1,995","0","4,906","4",
"Kishwaukee College","","","","","","","","","","","","","","","","",
"Undergraduate","413","327","14","13","46","36","283","232","0","4","1,443","1,300","41","35","0","0","28","36","2,268","1,983","0","4,251","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","413","327","14","13","46","36","283","232","0","4","1,443","1,300","41","35","0","0","28","36","2,268","1,983","0","4,251","4",
"Lake Land College","","","","","","","","","","","","","","","","",
"Undergraduate","162","154","11","7","20","13","52","56","4","1","2,731","2,038","35","20","0","0","127","152","3,142","2,441","0","5,583","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","162","154","11","7","20","13","52","56","4","1","2,731","2,038","35","20","0","0","127","152","3,142","2,441","0","5,583","4",
"Lewis &amp; Clark Community College","","","","","","","","","","","","","","","","",
"Undergraduate","321","271","27","23","29","21","51","53","8","8","3,598","2,901","4","5","1","3","254","283","4,293","3,568","0","7,861","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","321","271","27","23","29","21","51","53","8","8","3,598","2,901","4","5","1","3","254","283","4,293","3,568","0","7,861","4",
"Lincoln Land Community College","","","","","","","","","","","","","","","","",
"Undergraduate","399","296","12","6","46","34","91","80","3","6","3,193","2,396","14","15","1","0","279","109","4,038","2,942","0","6,980","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","399","296","12","6","46","34","91","80","3","6","3,193","2,396","14","15","1","0","279","109","4,038","2,942","0","6,980","4",
"McHenry County College","","","","","","","","","","","","","","","","",
"Undergraduate","49","50","4","9","54","45","467","396","7","5","2,376","2,098","63","63","9","2","254","209","3,283","2,877","0","6,160","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","49","50","4","9","54","45","467","396","7","5","2,376","2,098","63","63","9","2","254","209","3,283","2,877","0","6,160","4",
"Moraine Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","802","496","15","20","156","168","1,573","1,405","3","5","4,034","3,836","134","113","102","140","574","644","7,393","6,827","0","14,220","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","802","496","15","20","156","168","1,573","1,405","3","5","4,034","3,836","134","113","102","140","574","644","7,393","6,827","0","14,220","4",
"Morton College","","","","","","","","","","","","","","","","",
"Undergraduate","85","42","1","0","18","22","1,742","1,303","4","3","195","155","0","1","0","0","81","70","2,126","1,596","0","3,722","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","85","42","1","0","18","22","1,742","1,303","4","3","195","155","0","1","0","0","81","70","2,126","1,596","0","3,722","4",
"Oakton Community College","","","","","","","","","","","","","","","","",
"Undergraduate","364","226","6","11","865","985","841","768","37","45","2,881","2,564","139","156","1","0","208","240","5,342","4,995","0","10,337","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","364","226","6","11","865","985","841","768","37","45","2,881","2,564","139","156","1","0","208","240","5,342","4,995","0","10,337","4",
"Parkland College","","","","","","","","","","","","","","","","",
"Undergraduate","668","593","21","16","173","173","231","248","2","1","2,580","2,442","48","53","15","13","461","513","4,199","4,052","0","8,251","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","668","593","21","16","173","173","231","248","2","1","2,580","2,442","48","53","15","13","461","513","4,199","4,052","0","8,251","4",
"Prairie State College","","","","","","","","","","","","","","","","",
"Undergraduate","1,592","938","8","8","14","9","325","229","0","1","523","540","47","45","0","0","89","96","2,598","1,866","0","4,464","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,592","938","8","8","14","9","325","229","0","1","523","540","47","45","0","0","89","96","2,598","1,866","0","4,464","4",
"Rend Lake College","","","","","","","","","","","","","","","","",
"Undergraduate","87","64","7","5","15","6","20","18","1","1","1,645","1,092","0","0","1","0","4","4","1,780","1,190","0","2,970","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","87","64","7","5","15","6","20","18","1","1","1,645","1,092","0","0","1","0","4","4","1,780","1,190","0","2,970","4",
"Richland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","314","142","2","2","16","5","21","6","0","2","1,371","1,025","47","20","0","0","251","90","2,022","1,292","0","3,314","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","314","142","2","2","16","5","21","6","0","2","1,371","1,025","47","20","0","0","251","90","2,022","1,292","0","3,314","4",
"Rock Valley College","","","","","","","","","","","","","","","","",
"Undergraduate","418","253","20","12","95","86","659","505","4","6","2,938","2,453","98","53","16","9","45","52","4,293","3,429","0","7,722","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","418","253","20","12","95","86","659","505","4","6","2,938","2,453","98","53","16","9","45","52","4,293","3,429","0","7,722","4",
"Sauk Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","41","39","1","2","6","6","167","102","0","0","1,116","676","0","0","1","0","25","29","1,357","854","0","2,211","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","41","39","1","2","6","6","167","102","0","0","1,116","676","0","0","1","0","25","29","1,357","854","0","2,211","4",
"Shawnee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","140","84","3","2","7","4","17","22","2","0","822","616","0","0","0","0","4","10","995","738","0","1,733","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","140","84","3","2","7","4","17","22","2","0","822","616","0","0","0","0","4","10","995","738","0","1,733","4",
"South Suburban Coll. of Cook Co.","","","","","","","","","","","","","","","","",
"Undergraduate","1,999","794","12","3","27","19","398","227","13","5","446","266","54","29","0","0","23","12","2,972","1,355","0","4,327","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,999","794","12","3","27","19","398","227","13","5","446","266","54","29","0","0","23","12","2,972","1,355","0","4,327","4",
"Southeastern Illinois College","","","","","","","","","","","","","","","","",
"Undergraduate","37","38","2","2","4","3","17","20","0","2","951","585","27","29","0","4","68","40","1,106","723","0","1,829","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","37","38","2","2","4","3","17","20","0","2","951","585","27","29","0","4","68","40","1,106","723","0","1,829","4",
"Southwestern Illinois College","","","","","","","","","","","","","","","","",
"Undergraduate","1,315","782","12","13","65","29","266","170","11","7","3,510","3,026","270","253","0","2","199","209","5,648","4,491","0","10,139","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,315","782","12","13","65","29","266","170","11","7","3,510","3,026","270","253","0","2","199","209","5,648","4,491","0","10,139","4",
"Spoon River College","","","","","","","","","","","","","","","","",
"Undergraduate","49","39","2","2","7","4","18","20","0","0","809","566","2","2","0","1","0","0","887","634","0","1,521","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","49","39","2","2","7","4","18","20","0","0","809","566","2","2","0","1","0","0","887","634","0","1,521","4",
"Triton College","","","","","","","","","","","","","","","","",
"Undergraduate","1,157","700","13","9","167","149","1,903","1,468","8","9","1,643","1,821","77","55","1","1","399","524","5,368","4,736","0","10,104","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,157","700","13","9","167","149","1,903","1,468","8","9","1,643","1,821","77","55","1","1","399","524","5,368","4,736","0","10,104","4",
"Waubonsee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","423","272","5","5","164","125","1,690","1,265","2","1","2,926","2,469","134","81","0","0","153","133","5,497","4,351","0","9,848","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","423","272","5","5","164","125","1,690","1,265","2","1","2,926","2,469","134","81","0","0","153","133","5,497","4,351","0","9,848","4",
" Total Enrollment at Community Colleges","","","","","","","","","","","","","","","","",
"Undergraduate","26,842","16,396","458","400","6,742","6,285","30,866","23,586","289","277","93,880","79,017","3,283","2,848","349","350","6,577","6,374","169,286","135,533","0","304,819","11",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12",
"Sector Total","26,842","16,396","458","400","6,742","6,285","30,866","23,586","289","277","93,880","79,017","3,283","2,848","349","350","6,577","6,374","169,286","135,533","0","304,819","14",
" Independent NFP Institutions:","","","","","","","","","","","","","","","","",
"Adler University","","","","","","","","","","","","","","","","",
"Undergraduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",
"Graduate","105","23","2","2","30","8","83","23","0","0","472","136","18","8","36","5","40","13","786","218","0","1,004","2",
"Total","105","23","2","2","30","8","83","23","0","0","472","136","18","8","36","5","40","13","786","218","0","1,004","4",
"American Academy of Art","","","","","","","","","","","","","","","","",
"Undergraduate","16","26","0","0","11","6","55","38","1","1","123","72","9","6","0","1","0","0","215","150","0","365","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","16","26","0","0","11","6","55","38","1","1","123","72","9","6","0","1","0","0","215","150","0","365","4",
"Augustana College","","","","","","","","","","","","","","","","",
"Undergraduate","54","49","0","4","32","16","146","90","0","2","1,094","791","57","35","41","38","25","23","1,449","1,048","0","2,497","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","54","49","0","4","32","16","146","90","0","2","1,094","791","57","35","41","38","25","23","1,449","1,048","0","2,497","4",
