"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
"Graduate","273","163","8","6","62","53","73","82","4","2","1,499","1,451","44","46","370","555","12","14","2,345","2,372","0","4,717","2",
"Total","1,973","1,549","30","29","143","218","473","596","14","17","5,291","6,694","218","230","475","846","23","28","8,640","10,207","0","18,847","4",
"Southern Illinois University Edwardsville","","","","","","","","","","","","","","","","",
"Undergraduate","1,071","577","13","16","85","74","220","188","5","5","4,325","4,119","180","134","48","74","88","119","6,035","5,306","0","11,341","1",
"Graduate","121","75","0","2","44","33","43","31","3","1","1,249","750","23","22","82","107","60","68","1,625","1,089","0","2,714","2",
"Total","1,192","652","13","18","129","107","263","219","8","6","5,574","4,869","203","156","130","181","148","187","7,660","6,395","0","14,055","4",
"U of I at Chicago","","","","","","","","","","","","","","","","",
"Undergraduate","834","506","12","9","1,770","1,886","2,209","1,741","39","40","3,219","3,446","224","183","136","129","142","153","8,585","8,093","0","16,678","1",
"Graduate","650","255","7","3","834","606","601","350","12","9","3,306","2,132","116","72","872","1,034","187","151","6,585","4,612","0","11,197","2",
"Total","1,484","761","19","12","2,604","2,492","2,810","2,091","51","49","6,525","5,578","340","255","1,008","1,163","329","304","15,170","12,705","0","27,875","4",
"U of I at Springfield","","","","","","","","","","","","","","","","",
"Undergraduate","235","144","3","6","44","50","88","91","2","3","1,064","1,049","33","31","38","41","53","79","1,560","1,494","0","3,054","1",
"Graduate","124","75","1","2","39","52","29","31","1","1","682","704","16","17","66","97","30","27","988","1,006","0","1,994","2",
"Total","359","219","4","8","83","102","117","122","3","4","1,746","1,753","49","48","104","138","83","106","2,548","2,500","0","5,048","4",
"U of I at Urbana/Champaign","","","","","","","","","","","","","","","","",
"Undergraduate","1,031","729","17","15","1,864","2,749","1,153","1,247","25","32","8,080","9,918","366","339","1,669","2,835","92","120","14,297","17,984","0","32,281","1",
"Graduate","277","195","12","6","346","395","290","227","2","4","2,833","2,887","90","93","1,855","2,443","157","127","5,862","6,377","0","12,239","2",
"Total","1,308","924","29","21","2,210","3,144","1,443","1,474","27","36","10,913","12,805","456","432","3,524","5,278","249","247","20,159","24,361","0","44,520","4",
"Western Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","987","689","11","9","33","53","355","363","4","6","3,262","3,757","95","87","34","74","179","265","4,960","5,303","0","10,263","1",
"Graduate","61","47","4","0","10","9","36","26","0","0","901","528","9","8","92","142","30","39","1,143","799","0","1,942","2",
"Total","1,048","736","15","9","43","62","391","389","4","6","4,163","4,285","104","95","126","216","209","304","6,103","6,102","0","12,205","4",
" Total Enrollment at Public Universities","","","","","","","","","","","","","","","","",
"Undergraduate","13,403","7,780","148","135","4,871","6,139","8,523","7,281","133","130","43,323","44,401","1,642","1,447","2,417","3,831","1,444","1,419","75,904","72,563","0","148,467","11",
"Graduate","3,463","1,486","50","33","1,653","1,423","1,661","1,068","26","24","16,281","11,865","393","329","3,807","4,905","839","634","28,173","21,767","0","49,940","12",
"Sector Total","16,866","9,266","198","168","6,524","7,562","10,184","8,349","159","154","59,604","56,266","2,035","1,776","6,224","8,736","2,283","2,053","104,077","94,330","0","198,407","14",
" Community Colleges:","","","","","","","","","","","","","","","","",
"Black Hawk College","","","","","","","","","","","","","","","","",
"Undergraduate","282","218","11","4","47","38","302","174","6","5","2,722","1,788","59","73","8","15","68","93","3,539","2,374","0","5,913","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","282","218","11","4","47","38","302","174","6","5","2,722","1,788","59","73","8","15","68","93","3,539","2,374","0","5,913","4",
"Carl Sandburg College","","","","","","","","","","","","","","","","",
"Undergraduate","74","58","1","5","7","6","66","41","0","0","1,231","650","20","56","0","0","68","48","1,495","836","0","2,331","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","74","58","1","5","7","6","66","41","0","0","1,231","650","20","56","0","0","68","48","1,495","836","0","2,331","4",
"CCC - Harold Washington College","","","","","","","","","","","","","","","","",
"Undergraduate","1,962","1,210","14","9","488","392","1,721","1,263","1","4","799","607","50","128","5","14","202","78","5,270","3,677","0","8,947","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,962","1,210","14","9","488","392","1,721","1,263","1","4","799","607","50","128","5","14","202","78","5,270","3,677","0","8,947","4",
"CCC - Harry S Truman College","","","","","","","","","","","","","","","","",
"Undergraduate","1,407","711","16","8","465","343","945","651","11","6","1,016","765","31","114","2","1","137","45","4,044","2,630","0","6,674","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,407","711","16","8","465","343","945","651","11","6","1,016","765","31","114","2","1","137","45","4,044","2,630","0","6,674","4",
"CCC - Kennedy-King College","","","","","","","","","","","","","","","","",
"Undergraduate","2,692","1,426","7","5","25","10","95","94","0","3","91","61","10","35","4","0","54","18","2,986","1,644","0","4,630","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","2,692","1,426","7","5","25","10","95","94","0","3","91","61","10","35","4","0","54","18","2,986","1,644","0","4,630","4",
"CCC - Malcolm X College","","","","","","","","","","","","","","","","",
"Undergraduate","2,477","826","13","2","100","66","681","305","1","3","189","141","12","32","0","0","61","30","3,552","1,387","0","4,939","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","2,477","826","13","2","100","66","681","305","1","3","189","141","12","32","0","0","61","30","3,552","1,387","0","4,939","4",
"CCC - Olive-Harvey College","","","","","","","","","","","","","","","","",
"Undergraduate","1,938","997","7","2","32","186","190","118","0","1","45","192","12","41","0","0","28","8","2,248","1,549","0","3,797","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,938","997","7","2","32","186","190","118","0","1","45","192","12","41","0","0","28","8","2,248","1,549","0","3,797","4",
"CCC - Richard J. Daley College","","","","","","","","","","","","","","","","",
"Undergraduate","1,262","532","4","5","41","38","1,516","941","0","0","249","216","10","63","0","0","53","26","3,151","1,805","0","4,956","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,262","532","4","5","41","38","1,516","941","0","0","249","216","10","63","0","0","53","26","3,151","1,805","0","4,956","4",
"CCC - Wilbur Wright College","","","","","","","","","","","","","","","","",
"Undergraduate","720","404","24","20","391","367","2,555","1,743","13","16","1,628","1,128","30","84","4","4","100","41","5,476","3,796","0","9,272","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","720","404","24","20","391","367","2,555","1,743","13","16","1,628","1,128","30","84","4","4","100","41","5,476","3,796","0","9,272","4",
"College of DuPage","","","","","","","","","","","","","","","","",
"Undergraduate","1,102","882","29","18","1,046","1,038","1,658","1,505","22","25","7,509","7,199","231","435","58","55","377","263","12,064","11,388","0","23,452","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,102","882","29","18","1,046","1,038","1,658","1,505","22","25","7,509","7,199","231","435","58","55","377","263","12,064","11,388","0","23,452","4",
"College of Lake County","","","","","","","","","","","","","","","","",
"Undergraduate","803","550","26","14","402","356","1,839","1,513","11","18","4,447","3,856","149","551","0","0","626","142","8,296","7,007","0","15,303","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","803","550","26","14","402","356","1,839","1,513","11","18","4,447","3,856","149","551","0","0","626","142","8,296","7,007","0","15,303","4",
"Danville Area Community College","","","","","","","","","","","","","","","","",
"Undergraduate","223","294","3","7","24","17","65","98","43","10","1,365","1,166","2","196","0","0","688","2","2,413","1,790","0","4,203","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","223","294","3","7","24","17","65","98","43","10","1,365","1,166","2","196","0","0","688","2","2,413","1,790","0","4,203","4",
"Elgin Community College","","","","","","","","","","","","","","","","",
"Undergraduate","339","213","6","9","309","289","1,421","1,054","2","2","2,853","2,528","117","143","44","37","127","129","5,230","4,392","0","9,622","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","339","213","6","9","309","289","1,421","1,054","2","2","2,853","2,528","117","143","44","37","127","129","5,230","4,392","0","9,622","4",
"Harper College","","","","","","","","","","","","","","","","",
"Undergraduate","354","258","15","15","631","573","1,186","787","163","138","4,519","3,680","150","395","2","1","453","180","7,503","5,997","0","13,500","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","354","258","15","15","631","573","1,186","787","163","138","4,519","3,680","150","395","2","1","453","180","7,503","5,997","0","13,500","4",
"Heartland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","276","255","10","2","50","42","103","93","5","4","2,188","1,904","76","64","13","15","71","78","2,794","2,455","0","5,249","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","276","255","10","2","50","42","103","93","5","4","2,188","1,904","76","64","13","15","71","78","2,794","2,455","0","5,249","4",
"Highland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","116","66","22","20","8","6","20","12","1","1","1,049","631","27","13","0","0","31","41","1,288","776","0","2,064","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","116","66","22","20","8","6","20","12","1","1","1,049","631","27","13","0","0","31","41","1,288","776","0","2,064","4",
"Illinois Central College","","","","","","","","","","","","","","","","",
"Undergraduate","743","424","18","12","122","73","161","157","8","4","4,695","3,693","117","229","0","0","191","175","6,113","4,709","0","10,822","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","743","424","18","12","122","73","161","157","8","4","4,695","3,693","117","229","0","0","191","175","6,113","4,709","0","10,822","4",
"Illinois Eastern - Frontier","","","","","","","","","","","","","","","","",
"Undergraduate","7","7","3","3","2","7","9","10","0","1","1,571","878","8","0","1","0","2","11","1,606","914","0","2,520","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","7","7","3","3","2","7","9","10","0","1","1,571","878","8","0","1","0","2","11","1,606","914","0","2,520","4",
"Illinois Eastern - Lincoln Trail","","","","","","","","","","","","","","","","",
"Undergraduate","10","11","1","0","9","4","9","3","0","0","580","404","5","0","0","0","0","4","613","427","0","1,040","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","10","11","1","0","9","4","9","3","0","0","580","404","5","0","0","0","0","4","613","427","0","1,040","4",
"Illinois Eastern - Olney Central","","","","","","","","","","","","","","","","",
"Undergraduate","12","14","3","0","8","6","4","4","0","0","922","442","2","0","0","0","0","5","954","468","0","1,422","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","12","14","3","0","8","6","4","4","0","0","922","442","2","0","0","0","0","5","954","468","0","1,422","4",
"Illinois Eastern - Wabash Valley","","","","","","","","","","","","","","","","",
"Undergraduate","123","78","6","6","18","37","10","19","0","1","1,807","2,528","17","5","1","0","8","12","1,985","2,691","0","4,676","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","123","78","6","6","18","37","10","19","0","1","1,807","2,528","17","5","1","0","8","12","1,985","2,691","0","4,676","4",
"Illinois Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","28","31","0","0","0","0","129","82","0","0","2,039","1,352","11","113","0","0","116","12","2,324","1,589","0","3,913","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","28","31","0","0","0","0","129","82","0","0","2,039","1,352","11","113","0","0","116","12","2,324","1,589","0","3,913","4",
"John A. Logan College","","","","","","","","","","","","","","","","",
"Undergraduate","249","240","26","18","45","38","67","49","0","0","3,841","2,423","0","131","0","0","203","0","4,431","2,899","0","7,330","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","249","240","26","18","45","38","67","49","0","0","3,841","2,423","0","131","0","0","203","0","4,431","2,899","0","7,330","4",
"John Wood Community College","","","","","","","","","","","","","","","","",
"Undergraduate","51","38","3","6","6","5","11","17","0","0","1,152","791","5","36","0","0","39","12","1,274","898","0","2,172","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","51","38","3","6","6","5","11","17","0","0","1,152","791","5","36","0","0","39","12","1,274","898","0","2,172","4",
"Joliet Junior College","","","","","","","","","","","","","","","","",
"Undergraduate","936","604","40","44","90","68","1,462","1,088","9","0","5,045","4,234","245","200","2","0","221","227","8,032","6,483","0","14,515","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","936","604","40","44","90","68","1,462","1,088","9","0","5,045","4,234","245","200","2","0","221","227","8,032","6,483","0","14,515","4",
"Kankakee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","408","184","13","5","26","13","169","117","3","3","1,762","1,139","8","21","2","2","21","17","2,421","1,492","0","3,913","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","408","184","13","5","26","13","169","117","3","3","1,762","1,139","8","21","2","2","21","17","2,421","1,492","0","3,913","4",
"Kaskaskia College","","","","","","","","","","","","","","","","",
"Undergraduate","183","146","17","9","21","13","26","41","2","0","2,785","1,725","44","4","7","9","17","55","3,113","1,991","0","5,104","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","183","146","17","9","21","13","26","41","2","0","2,785","1,725","44","4","7","9","17","55","3,113","1,991","0","5,104","4",
"Kishwaukee College","","","","","","","","","","","","","","","","",
"Undergraduate","436","385","20","16","54","38","196","184","2","2","1,707","1,529","22","41","0","0","22","33","2,470","2,217","0","4,687","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","436","385","20","16","54","38","196","184","2","2","1,707","1,529","22","41","0","0","22","33","2,470","2,217","0","4,687","4",
"Lake Land College","","","","","","","","","","","","","","","","",
"Undergraduate","120","350","6","11","20","10","45","81","1","2","3,143","2,724","19","139","0","0","133","8","3,476","3,336","0","6,812","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","120","350","6","11","20","10","45","81","1","2","3,143","2,724","19","139","0","0","133","8","3,476","3,336","0","6,812","4",
"Lewis &amp; Clark Community College","","","","","","","","","","","","","","","","",
"Undergraduate","346","255","17","26","35","34","65","63","4","9","3,924","3,079","7","192","2","8","216","7","4,616","3,673","0","8,289","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","346","255","17","26","35","34","65","63","4","9","3,924","3,079","7","192","2","8","216","7","4,616","3,673","0","8,289","4",
"Lincoln Land Community College","","","","","","","","","","","","","","","","",
"Undergraduate","387","279","8","5","66","51","88","61","2","3","3,424","2,413","16","156","3","1","197","20","4,195","2,985","0","7,180","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","387","279","8","5","66","51","88","61","2","3","3,424","2,413","16","156","3","1","197","20","4,195","2,985","0","7,180","4",
"McHenry County College","","","","","","","","","","","","","","","","",
"Undergraduate","46","49","7","11","46","43","350","300","6","2","2,698","2,218","56","279","8","8","289","48","3,498","2,966","0","6,464","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","46","49","7","11","46","43","350","300","6","2","2,698","2,218","56","279","8","8","289","48","3,498","2,966","0","6,464","4",
"Moraine Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","1,005","606","16","19","150","186","1,393","1,216","3","1","4,818","4,447","101","763","103","155","697","111","8,296","7,494","0","15,790","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,005","606","16","19","150","186","1,393","1,216","3","1","4,818","4,447","101","763","103","155","697","111","8,296","7,494","0","15,790","4",
"Morton College","","","","","","","","","","","","","","","","",
"Undergraduate","115","47","1","1","26","21","1,928","1,361","4","1","308","212","3","91","0","0","102","0","2,484","1,737","0","4,221","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","115","47","1","1","26","21","1,928","1,361","4","1","308","212","3","91","0","0","102","0","2,484","1,737","0","4,221","4",
"Oakton Community College","","","","","","","","","","","","","","","","",
"Undergraduate","368","278","12","12","976","989","659","622","80","87","3,175","2,980","135","287","0","0","318","111","5,699","5,390","0","11,089","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","368","278","12","12","976","989","659","622","80","87","3,175","2,980","135","287","0","0","318","111","5,699","5,390","0","11,089","4",
"Parkland College","","","","","","","","","","","","","","","","",
"Undergraduate","758","600","22","21","192","223","198","217","4","9","2,941","2,424","6","518","30","24","470","2","4,617","4,042","0","8,659","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","758","600","22","21","192","223","198","217","4","9","2,941","2,424","6","518","30","24","470","2","4,617","4,042","0","8,659","4",
"Prairie State College","","","","","","","","","","","","","","","","",
"Undergraduate","1,820","1,094","11","4","18","7","272","199","2","5","774","634","47","140","0","0","132","65","3,094","2,130","0","5,224","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,820","1,094","11","4","18","7","272","199","2","5","774","634","47","140","0","0","132","65","3,094","2,130","0","5,224","4",
"Rend Lake College","","","","","","","","","","","","","","","","",
"Undergraduate","99","79","8","9","19","13","24","18","0","0","2,045","1,470","0","3","0","1","4","0","2,199","1,593","0","3,792","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","99","79","8","9","19","13","24","18","0","0","2,045","1,470","0","3","0","1","4","0","2,199","1,593","0","3,792","4",
"Richland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","309","173","8","2","15","14","30","17","0","0","1,624","1,077","0","0","0","0","0","0","1,986","1,283","0","3,269","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","309","173","8","2","15","14","30","17","0","0","1,624","1,077","0","0","0","0","0","0","1,986","1,283","0","3,269","4",
"Rock Valley College","","","","","","","","","","","","","","","","",
"Undergraduate","456","283","39","22","74","69","577","413","1","7","3,403","2,663","59","50","18","21","64","93","4,725","3,587","0","8,312","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","456","283","39","22","74","69","577","413","1","7","3,403","2,663","59","50","18","21","64","93","4,725","3,587","0","8,312","4",
"Sauk Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","26","32","3","1","7","4","98","60","0","0","1,166","789","0","14","2","1","27","0","1,329","901","0","2,230","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","26","32","3","1","7","4","98","60","0","0","1,166","789","0","14","2","1","27","0","1,329","901","0","2,230","4",
"Shawnee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","193","113","7","5","6","0","20","12","1","0","1,005","633","0","11","0","0","3","0","1,235","774","0","2,009","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","193","113","7","5","6","0","20","12","1","0","1,005","633","0","11","0","0","3","0","1,235","774","0","2,009","4",
"South Suburban Coll. of Cook Co.","","","","","","","","","","","","","","","","",
"Undergraduate","2,943","1,159","8","3","28","19","368","217","32","20","672","441","10","29","0","0","55","32","4,138","1,898","0","6,036","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","2,943","1,159","8","3","28","19","368","217","32","20","672","441","10","29","0","0","55","32","4,138","1,898","0","6,036","4",
"Southeastern Illinois College","","","","","","","","","","","","","","","","",
"Undergraduate","33","49","2","2","3","1","13","22","0","4","949","668","2","115","0","3","218","1","1,219","866","0","2,085","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","33","49","2","2","3","1","13","22","0","4","949","668","2","115","0","3","218","1","1,219","866","0","2,085","4",
"Southwestern Illinois College","","","","","","","","","","","","","","","","",
"Undergraduate","1,446","862","20","14","73","41","155","122","12","10","4,147","3,529","229","281","0","1","248","272","6,373","5,089","0","11,462","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,446","862","20","14","73","41","155","122","12","10","4,147","3,529","229","281","0","1","248","272","6,373","5,089","0","11,462","4",
"Spoon River College","","","","","","","","","","","","","","","","",
"Undergraduate","55","59","3","3","7","4","7","12","0","0","973","621","6","0","0","1","0","2","1,047","706","0","1,753","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","55","59","3","3","7","4","7","12","0","0","973","621","6","0","0","1","0","2","1,047","706","0","1,753","4",
"Triton College","","","","","","","","","","","","","","","","",
"Undergraduate","1,621","926","15","16","226","142","1,829","1,319","25","20","2,205","2,163","102","471","0","0","421","132","6,474","5,159","0","11,633","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,621","926","15","16","226","142","1,829","1,319","25","20","2,205","2,163","102","471","0","0","421","132","6,474","5,159","0","11,633","4",
"Waubonsee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","476","315","7","10","147","111","1,421","1,078","5","7","3,214","2,634","94","160","0","0","159","139","5,568","4,409","0","9,977","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","476","315","7","10","147","111","1,421","1,078","5","7","3,214","2,634","94","160","0","0","159","139","5,568","4,409","0","9,977","4",
" Total Enrollment at Community Colleges","","","","","","","","","","","","","","","","",
"Undergraduate","31,835","18,670","578","461","6,601","6,051","26,156","19,573","485","434","106,414","85,469","2,362","6,902","319","377","7,737","2,828","182,953","140,299","0","323,252","11",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12",
"Sector Total","31,835","18,670","578","461","6,601","6,051","26,156","19,573","485","434","106,414","85,469","2,362","6,902","319","377","7,737","2,828","182,953","140,299","0","323,252","14",
" Independent NFP Institutions:","","","","","","","","","","","","","","","","",
"Adler University","","","","","","","","","","","","","","","","",
"Undergraduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",
"Graduate","82","17","1","2","37","10","56","29","1","0","457","137","18","7","30","6","68","20","750","228","0","978","2",
"Total","82","17","1","2","37","10","56","29","1","0","457","137","18","7","30","6","68","20","750","228","0","978","4",
"American Academy of Art","","","","","","","","","","","","","","","","",
"Undergraduate","23","33","0","1","5","7","57","51","1","3","150","89","6","5","0","1","0","0","242","190","0","432","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","23","33","0","1","5","7","57","51","1","3","150","89","6","5","0","1","0","0","242","190","0","432","4",
"Augustana College","","","","","","","","","","","","","","","","",
"Undergraduate","56","44","3","6","29","16","91","73","7","4","1,157","854","33","15","27","19","62","55","1,465","1,086","0","2,551","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
