"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
" Public Universities:","","","","","","","","","","","","","","","","",
"Chicago State University","","","","","","","","","","","","","","","","",
"Undergraduate","2,837","1,005","6","4","19","17","198","107","1","0","51","77","0","0","1","0","195","100","3,308","1,310","0","4,618","1",
"Graduate","703","241","2","1","80","71","57","25","0","0","140","110","0","0","1","0","39","19","1,022","467","0","1,489","2",
"Total","3,540","1,246","8","5","99","88","255","132","1","0","191","187","0","0","2","0","234","119","4,330","1,777","0","6,107","4",
"Eastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","947","527","12","10","37","37","196","173","6","2","3,818","2,685","87","53","32","29","181","143","5,316","3,659","0","8,975","1",
"Graduate","68","38","1","4","10","10","18","12","1","0","725","431","9","4","43","48","8","12","883","559","0","1,442","2",
"Total","1,015","565","13","14","47","47","214","185","7","2","4,543","3,116","96","57","75","77","189","155","6,199","4,218","0","10,417","4",
"Governors State University","","","","","","","","","","","","","","","","",
"Undergraduate","913","251","7","6","29","18","196","105","2","0","862","537","17","11","11","4","133","76","2,170","1,008","0","3,178","1",
"Graduate","779","186","2","1","30","8","96","34","2","4","781","299","24","7","34","41","86","17","1,834","597","0","2,431","2",
"Total","1,692","437","9","7","59","26","292","139","4","4","1,643","836","41","18","45","45","219","93","4,004","1,605","0","5,609","4",
"Illinois State University","","","","","","","","","","","","","","","","",
"Undergraduate","695","472","18","16","176","171","676","557","14","3","8,065","6,714","179","171","67","82","89","92","9,979","8,278","0","18,257","1",
"Graduate","64","38","3","2","23","19","56","36","0","0","1,254","648","21","11","120","116","28","10","1,569","880","0","2,449","2",
"Total","759","510","21","18","199","190","732","593","14","3","9,319","7,362","200","182","187","198","117","102","11,548","9,158","0","20,706","4",
"Northeastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","564","387","9","9","412","437","1,854","1,240","19","12","1,845","1,657","82","58","200","151","112","92","5,097","4,043","0","9,140","1",
"Graduate","117","55","5","3","62","37","179","84","0","0","696","385","4","5","60","46","157","114","1,280","729","0","2,009","2",
"Total","681","442","14","12","474","474","2,033","1,324","19","12","2,541","2,042","86","63","260","197","269","206","6,377","4,772","0","11,149","4",
"Northern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","1,589","1,107","18","12","321","482","978","955","6","12","4,940","5,199","205","196","76","121","169","166","8,302","8,250","0","16,552","1",
"Graduate","226","118","5","3","113","130","183","130","1","3","2,215","1,540","37","44","212","276","45","36","3,037","2,280","0","5,317","2",
"Total","1,815","1,225","23","15","434","612","1,161","1,085","7","15","7,155","6,739","242","240","288","397","214","202","11,339","10,530","0","21,869","4",
"Southern Illinois University Carbondale","","","","","","","","","","","","","","","","",
"Undergraduate","1,700","1,386","22","23","81","165","400","514","10","15","3,792","5,243","174","184","105","291","11","14","6,295","7,835","0","14,130","1",
