"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
" Public Universities:","","","","","","","","","","","","","","","","",
"Chicago State University","","","","","","","","","","","","","","","","",
"Undergraduate","3,499","1,315","5","5","16","20","231","123","0","0","59","88","0","0","15","18","192","89","4,017","1,658","0","5,675","1",
"Graduate","748","270","2","2","61","31","78","39","0","0","196","156","0","0","8","9","52","35","1,145","542","0","1,687","2",
"Total","4,247","1,585","7","7","77","51","309","162","0","0","255","244","0","0","23","27","244","124","5,162","2,200","0","7,362","4",
"Eastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","795","468","24","12","40","57","186","152","4","2","4,379","3,158","47","26","22","38","287","273","5,784","4,186","0","9,970","1",
"Graduate","64","33","1","2","12","13","6","7","0","0","855","534","3","2","36","56","19","17","996","664","0","1,660","2",
"Total","859","501","25","14","52","70","192","159","4","2","5,234","3,692","50","28","58","94","306","290","6,780","4,850","0","11,630","4",
"Governors State University","","","","","","","","","","","","","","","","",
"Undergraduate","879","228","8","3","19","20","168","97","2","1","877","526","11","1","1","0","94","58","2,059","934","0","2,993","1",
"Graduate","772","177","5","4","23","12","129","43","2","1","941","360","10","1","40","55","62","30","1,984","683","0","2,667","2",
"Total","1,651","405","13","7","42","32","297","140","4","2","1,818","886","21","2","41","55","156","88","4,043","1,617","0","5,660","4",
"Illinois State University","","","","","","","","","","","","","","","","",
"Undergraduate","621","417","38","28","172","187","536","418","8","4","8,448","6,721","63","48","76","45","229","255","10,191","8,123","0","18,314","1",
"Graduate","80","38","3","4","42","27","56","24","0","0","1,435","779","0","2","141","121","43","25","1,800","1,020","0","2,820","2",
"Total","701","455","41","32","214","214","592","442","8","4","9,883","7,500","63","50","217","166","272","280","11,991","9,143","0","21,134","4",
"Northeastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","621","325","12","11","460","445","1,834","1,127","10","8","2,049","1,707","41","25","230","177","224","192","5,481","4,017","0","9,498","1",
"Graduate","106","60","5","4","79","42","213","72","3","0","898","459","4","8","54","44","124","73","1,486","762","0","2,248","2",
"Total","727","385","17","15","539","487","2,047","1,199","13","8","2,947","2,166","45","33","284","221","348","265","6,967","4,779","0","11,746","4",
"Northern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","1,581","1,049","12","12","359","489","864","763","15","17","5,709","5,929","114","115","76","101","349","332","9,079","8,807","0","17,886","1",
"Graduate","232","127","9","3","142","117","219","116","2","3","2,482","1,745","25","35","242","333","59","73","3,412","2,552","0","5,964","2",
"Total","1,813","1,176","21","15","501","606","1,083","879","17","20","8,191","7,674","139","150","318","434","408","405","12,491","11,359","0","23,850","4",
"Southern Illinois University Carbondale","","","","","","","","","","","","","","","","",
"Undergraduate","1,664","1,445","28","44","99","180","338","486","14","25","4,217","5,880","149","169","112","186","37","64","6,658","8,479","0","15,137","1",
