"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
"Graduate","292","157","12","6","54","61","84","58","1","2","1,566","1,475","47","31","403","554","53","44","2,512","2,388","0","4,900","2",
"Total","1,956","1,602","40","50","153","241","422","544","15","27","5,783","7,355","196","200","515","740","90","108","9,170","10,867","0","20,037","4",
"Southern Illinois University Edwardsville","","","","","","","","","","","","","","","","",
"Undergraduate","916","478","20","20","88","95","167","187","11","10","4,487","4,122","156","119","36","55","146","192","6,027","5,278","0","11,305","1",
"Graduate","136","58","2","4","35","22","40","27","4","2","1,245","780","25","12","94","143","106","93","1,687","1,141","0","2,828","2",
"Total","1,052","536","22","24","123","117","207","214","15","12","5,732","4,902","181","131","130","198","252","285","7,714","6,419","0","14,133","4",
"U of I at Chicago","","","","","","","","","","","","","","","","",
"Undergraduate","918","476","11","13","1,742","1,835","1,878","1,509","46","30","3,717","3,738","173","171","131","110","143","165","8,759","8,047","0","16,806","1",
"Graduate","656","257","10","3","791","616","598","323","9","6","3,417","2,194","104","55","842","882","153","128","6,580","4,464","0","11,044","2",
"Total","1,574","733","21","16","2,533","2,451","2,476","1,832","55","36","7,134","5,932","277","226","973","992","296","293","15,339","12,511","0","27,850","4",
"U of I at Springfield","","","","","","","","","","","","","","","","",
"Undergraduate","233","157","5","7","44","56","75","58","1","2","1,270","1,151","35","23","20","19","18","23","1,701","1,496","0","3,197","1",
"Graduate","122","53","4","1","37","42","29","18","1","1","802","655","8","8","61","95","22","18","1,086","891","0","1,977","2",
"Total","355","210","9","8","81","98","104","76","2","3","2,072","1,806","43","31","81","114","40","41","2,787","2,387","0","5,174","4",
"U of I at Urbana/Champaign","","","","","","","","","","","","","","","","",
"Undergraduate","1,089","711","18","28","1,739","2,380","1,042","1,121","26","30","8,691","10,330","269","292","1,276","2,232","124","142","14,274","17,266","0","31,540","1",
"Graduate","303","175","10","7","363","383","273","195","2","2","3,135","3,197","71","68","1,635","2,219","133","151","5,925","6,397","0","12,322","2",
"Total","1,392","886","28","35","2,102","2,763","1,315","1,316","28","32","11,826","13,527","340","360","2,911","4,451","257","293","20,199","23,663","0","43,862","4",
"Western Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","657","488","16","9","42","52","274","332","7","14","3,679","4,154","74","86","47","79","184","280","4,980","5,494","0","10,474","1",
"Graduate","46","39","4","2","10","9","34","21","1","0","1,013","595","10","2","92","140","50","43","1,260","851","0","2,111","2",
"Total","703","527","20","11","52","61","308","353","8","14","4,692","4,749","84","88","139","219","234","323","6,240","6,345","0","12,585","4",
" Total Enrollment at Public Universities","","","","","","","","","","","","","","","","",
"Undergraduate","13,473","7,557","197","192","4,820","5,816","7,593","6,373","144","143","47,582","47,504","1,132","1,075","2,042","3,060","2,027","2,065","79,010","73,785","0","152,795","11",
"Graduate","3,557","1,444","67","42","1,649","1,375","1,759","943","25","17","17,985","12,929","307","224","3,648","4,651","876","730","29,873","22,355","0","52,228","12",
"Sector Total","17,030","9,001","264","234","6,469","7,191","9,352","7,316","169","160","65,567","60,433","1,439","1,299","5,690","7,711","2,903","2,795","108,883","96,140","0","205,023","14",
" Community Colleges:","","","","","","","","","","","","","","","","",
"Black Hawk College","","","","","","","","","","","","","","","","",
"Undergraduate","380","274","19","5","76","70","352","202","7","6","3,001","2,077","35","23","6","10","55","79","3,931","2,746","0","6,677","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","380","274","19","5","76","70","352","202","7","6","3,001","2,077","35","23","6","10","55","79","3,931","2,746","0","6,677","4",
"Carl Sandburg College","","","","","","","","","","","","","","","","",
"Undergraduate","77","62","7","5","13","6","59","18","0","0","1,452","666","34","19","0","0","69","51","1,711","827","0","2,538","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","77","62","7","5","13","6","59","18","0","0","1,452","666","34","19","0","0","69","51","1,711","827","0","2,538","4",
"CCC - Harold Washington College","","","","","","","","","","","","","","","","",
"Undergraduate","1,980","1,214","22","11","541","545","1,427","1,079","3","3","827","783","19","12","2","4","115","134","4,936","3,785","0","8,721","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,980","1,214","22","11","541","545","1,427","1,079","3","3","827","783","19","12","2","4","115","134","4,936","3,785","0","8,721","4",
"CCC - Harry S Truman College","","","","","","","","","","","","","","","","",
"Undergraduate","1,958","1,132","26","21","983","632","2,544","2,384","10","8","1,608","1,161","8","6","2","3","262","199","7,401","5,546","0","12,947","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,958","1,132","26","21","983","632","2,544","2,384","10","8","1,608","1,161","8","6","2","3","262","199","7,401","5,546","0","12,947","4",
"CCC - Kennedy-King College","","","","","","","","","","","","","","","","",
"Undergraduate","3,777","1,918","11","2","108","45","143","117","3","1","103","43","2","0","2","1","65","25","4,214","2,152","0","6,366","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","3,777","1,918","11","2","108","45","143","117","3","1","103","43","2","0","2","1","65","25","4,214","2,152","0","6,366","4",
"CCC - Malcolm X College","","","","","","","","","","","","","","","","",
"Undergraduate","3,286","1,467","7","5","120","74","1,740","933","1","4","349","270","16","10","1","0","54","29","5,574","2,792","0","8,366","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","3,286","1,467","7","5","120","74","1,740","933","1","4","349","270","16","10","1","0","54","29","5,574","2,792","0","8,366","4",
"CCC - Olive-Harvey College","","","","","","","","","","","","","","","","",
"Undergraduate","2,824","1,173","6","2","28","14","454","230","1","0","41","21","2","2","0","0","49","21","3,405","1,463","0","4,868","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","2,824","1,173","6","2","28","14","454","230","1","0","41","21","2","2","0","0","49","21","3,405","1,463","0","4,868","4",
"CCC - Richard J. Daley College","","","","","","","","","","","","","","","","",
"Undergraduate","1,423","628","9","5","56","59","3,606","2,432","2","4","400","248","1","2","0","0","58","32","5,555","3,410","0","8,965","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,423","628","9","5","56","59","3,606","2,432","2","4","400","248","1","2","0","0","58","32","5,555","3,410","0","8,965","4",
"CCC - Wilbur Wright College","","","","","","","","","","","","","","","","",
"Undergraduate","778","474","36","25","525","501","3,717","2,633","13","22","2,172","1,557","13","11","0","3","101","79","7,355","5,305","0","12,660","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","778","474","36","25","525","501","3,717","2,633","13","22","2,172","1,557","13","11","0","3","101","79","7,355","5,305","0","12,660","4",
"College of DuPage","","","","","","","","","","","","","","","","",
"Undergraduate","1,125","849","46","27","1,451","1,282","2,156","1,713","25","20","8,806","8,003","0","0","61","53","591","514","14,261","12,461","0","26,722","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,125","849","46","27","1,451","1,282","2,156","1,713","25","20","8,806","8,003","0","0","61","53","591","514","14,261","12,461","0","26,722","4",
"College of Lake County","","","","","","","","","","","","","","","","",
"Undergraduate","899","687","25","16","572","465","2,515","1,804","6","8","5,155","4,061","35","40","0","0","935","868","10,142","7,949","0","18,091","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","899","687","25","16","572","465","2,515","1,804","6","8","5,155","4,061","35","40","0","0","935","868","10,142","7,949","0","18,091","4",
"Danville Area Community College","","","","","","","","","","","","","","","","",
"Undergraduate","315","270","8","6","20","14","72","92","61","9","1,453","986","3","1","0","2","213","188","2,145","1,568","0","3,713","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","315","270","8","6","20","14","72","92","61","9","1,453","986","3","1","0","2","213","188","2,145","1,568","0","3,713","4",
"Elgin Community College","","","","","","","","","","","","","","","","",
"Undergraduate","442","264","16","14","414","359","2,273","1,648","4","2","3,398","2,907","52","50","48","28","159","136","6,806","5,408","0","12,214","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","442","264","16","14","414","359","2,273","1,648","4","2","3,398","2,907","52","50","48","28","159","136","6,806","5,408","0","12,214","4",
"Harper College","","","","","","","","","","","","","","","","",
"Undergraduate","481","337","20","11","909","705","1,559","1,151","94","73","5,164","4,283","123","110","44","14","553","429","8,947","7,113","0","16,060","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","481","337","20","11","909","705","1,559","1,151","94","73","5,164","4,283","123","110","44","14","553","429","8,947","7,113","0","16,060","4",
"Heartland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","267","268","8","4","81","40","122","97","5","3","2,294","1,988","49","31","20","20","68","94","2,914","2,545","0","5,459","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","267","268","8","4","81","40","122","97","5","3","2,294","1,988","49","31","20","20","68","94","2,914","2,545","0","5,459","4",
"Highland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","135","83","25","13","21","7","25","22","0","1","1,218","766","34","24","0","0","24","21","1,482","937","0","2,419","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","135","83","25","13","21","7","25","22","0","1","1,218","766","34","24","0","0","24","21","1,482","937","0","2,419","4",
"Illinois Central College","","","","","","","","","","","","","","","","",
"Undergraduate","973","599","31","20","143","98","187","145","6","9","5,759","4,533","211","155","3","2","109","95","7,422","5,656","0","13,078","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","973","599","31","20","143","98","187","145","6","9","5,759","4,533","211","155","3","2","109","95","7,422","5,656","0","13,078","4",
"Illinois Eastern - Frontier","","","","","","","","","","","","","","","","",
"Undergraduate","4","4","2","2","0","1","7","5","0","0","1,301","824","9","12","0","0","0","0","1,323","848","0","2,171","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","4","4","2","2","0","1","7","5","0","0","1,301","824","9","12","0","0","0","0","1,323","848","0","2,171","4",
"Illinois Eastern - Lincoln Trail","","","","","","","","","","","","","","","","",
"Undergraduate","12","21","2","1","10","9","5","4","0","0","580","403","6","9","0","0","0","0","615","447","0","1,062","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","12","21","2","1","10","9","5","4","0","0","580","403","6","9","0","0","0","0","615","447","0","1,062","4",
"Illinois Eastern - Olney Central","","","","","","","","","","","","","","","","",
"Undergraduate","5","13","1","2","10","7","8","7","1","1","1,004","541","2","1","0","0","0","0","1,031","572","0","1,603","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","5","13","1","2","10","7","8","7","1","1","1,004","541","2","1","0","0","0","0","1,031","572","0","1,603","4",
"Illinois Eastern - Wabash Valley","","","","","","","","","","","","","","","","",
"Undergraduate","32","63","4","11","15","24","8","33","0","1","1,574","3,762","14","43","0","0","0","0","1,647","3,937","0","5,584","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","32","63","4","11","15","24","8","33","0","1","1,574","3,762","14","43","0","0","0","0","1,647","3,937","0","5,584","4",
"Illinois Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","43","83","0","0","0","0","168","116","0","0","2,137","1,531","1","1","0","0","209","218","2,558","1,949","0","4,507","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","43","83","0","0","0","0","168","116","0","0","2,137","1,531","1","1","0","0","209","218","2,558","1,949","0","4,507","4",
"John A. Logan College","","","","","","","","","","","","","","","","",
"Undergraduate","278","230","17","11","36","41","68","47","0","0","3,977","2,684","23","15","0","0","1","3","4,400","3,031","0","7,431","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","278","230","17","11","36","41","68","47","0","0","3,977","2,684","23","15","0","0","1","3","4,400","3,031","0","7,431","4",
"John Wood Community College","","","","","","","","","","","","","","","","",
"Undergraduate","47","44","3","7","6","9","13","9","3","0","1,293","880","17","20","4","7","70","69","1,456","1,045","0","2,501","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","47","44","3","7","6","9","13","9","3","0","1,293","880","17","20","4","7","70","69","1,456","1,045","0","2,501","4",
"Joliet Junior College","","","","","","","","","","","","","","","","",
"Undergraduate","1,066","759","27","36","58","40","1,626","1,140","5","4","5,518","4,406","227","205","4","4","305","246","8,836","6,840","0","15,676","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,066","759","27","36","58","40","1,626","1,140","5","4","5,518","4,406","227","205","4","4","305","246","8,836","6,840","0","15,676","4",
"Kankakee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","462","215","18","4","30","17","171","115","0","0","2,114","1,351","0","0","3","18","121","49","2,919","1,769","0","4,688","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","462","215","18","4","30","17","171","115","0","0","2,114","1,351","0","0","3","18","121","49","2,919","1,769","0","4,688","4",
"Kaskaskia College","","","","","","","","","","","","","","","","",
"Undergraduate","168","112","9","9","15","9","32","29","1","1","2,965","1,912","42","34","18","12","11","12","3,261","2,130","0","5,391","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","168","112","9","9","15","9","32","29","1","1","2,965","1,912","42","34","18","12","11","12","3,261","2,130","0","5,391","4",
"Kishwaukee College","","","","","","","","","","","","","","","","",
"Undergraduate","447","362","11","5","51","44","314","261","2","2","1,783","1,589","37","56","0","2","10","13","2,655","2,334","0","4,989","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","447","362","11","5","51","44","314","261","2","2","1,783","1,589","37","56","0","2","10","13","2,655","2,334","0","4,989","4",
"Lake Land College","","","","","","","","","","","","","","","","",
"Undergraduate","109","845","7","17","16","25","50","232","1","3","3,355","3,116","14","24","0","0","185","235","3,737","4,497","0","8,234","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","109","845","7","17","16","25","50","232","1","3","3,355","3,116","14","24","0","0","185","235","3,737","4,497","0","8,234","4",
"Lewis &amp; Clark Community College","","","","","","","","","","","","","","","","",
"Undergraduate","332","226","16","15","38","24","65","51","1","2","3,866","2,778","1","1","3","3","553","431","4,875","3,531","0","8,406","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","332","226","16","15","38","24","65","51","1","2","3,866","2,778","1","1","3","3","553","431","4,875","3,531","0","8,406","4",
"Lincoln Land Community College","","","","","","","","","","","","","","","","",
"Undergraduate","442","292","10","12","57","35","73","53","2","3","3,488","2,566","21","13","3","4","278","250","4,374","3,228","0","7,602","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","442","292","10","12","57","35","73","53","2","3","3,488","2,566","21","13","3","4","278","250","4,374","3,228","0","7,602","4",
"McHenry County College","","","","","","","","","","","","","","","","",
"Undergraduate","39","47","13","10","101","67","590","460","0","0","3,324","2,622","0","0","72","47","0","0","4,139","3,253","0","7,392","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","39","47","13","10","101","67","590","460","0","0","3,324","2,622","0","0","72","47","0","0","4,139","3,253","0","7,392","4",
"Moraine Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","948","581","26","16","181","195","1,256","990","5","2","5,990","5,085","22","19","97","182","821","971","9,346","8,041","0","17,387","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","948","581","26","16","181","195","1,256","990","5","2","5,990","5,085","22","19","97","182","821","971","9,346","8,041","0","17,387","4",
"Morton College","","","","","","","","","","","","","","","","",
"Undergraduate","163","91","0","0","47","33","2,341","1,673","3","1","407","278","3","2","1","6","222","188","3,187","2,272","0","5,459","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","163","91","0","0","47","33","2,341","1,673","3","1","407","278","3","2","1","6","222","188","3,187","2,272","0","5,459","4",
"Oakton Community College","","","","","","","","","","","","","","","","",
"Undergraduate","415","312","12","15","975","1,020","663","547","88","109","3,587","3,176","97","84","0","0","411","326","6,248","5,589","0","11,837","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","415","312","12","15","975","1,020","663","547","88","109","3,587","3,176","97","84","0","0","411","326","6,248","5,589","0","11,837","4",
"Parkland College","","","","","","","","","","","","","","","","",
"Undergraduate","858","651","18","26","197","151","228","239","9","5","3,074","2,711","0","0","105","93","564","786","5,053","4,662","0","9,715","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","858","651","18","26","197","151","228","239","9","5","3,074","2,711","0","0","105","93","564","786","5,053","4,662","0","9,715","4",
"Prairie State College","","","","","","","","","","","","","","","","",
"Undergraduate","1,913","1,099","20","6","16","9","409","283","4","3","914","808","55","37","0","0","116","99","3,447","2,344","0","5,791","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,913","1,099","20","6","16","9","409","283","4","3","914","808","55","37","0","0","116","99","3,447","2,344","0","5,791","4",
"Rend Lake College","","","","","","","","","","","","","","","","",
"Undergraduate","138","164","9","8","18","21","36","45","0","0","2,728","2,209","0","0","2","1","0","0","2,931","2,448","0","5,379","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","138","164","9","8","18","21","36","45","0","0","2,728","2,209","0","0","2","1","0","0","2,931","2,448","0","5,379","4",
"Richland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","434","211","11","6","24","10","31","27","0","0","1,799","1,253","0","0","1","0","0","0","2,300","1,507","0","3,807","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","434","211","11","6","24","10","31","27","0","0","1,799","1,253","0","0","1","0","0","0","2,300","1,507","0","3,807","4",
"Rock Valley College","","","","","","","","","","","","","","","","",
"Undergraduate","574","325","19","9","60","60","477","339","6","4","3,729","2,960","113","101","7","7","31","28","5,016","3,833","0","8,849","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","574","325","19","9","60","60","477","339","6","4","3,729","2,960","113","101","7","7","31","28","5,016","3,833","0","8,849","4",
"Sauk Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","47","45","7","5","14","7","101","73","0","0","1,289","850","0","0","1","0","28","24","1,487","1,004","0","2,491","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","47","45","7","5","14","7","101","73","0","0","1,289","850","0","0","1","0","28","24","1,487","1,004","0","2,491","4",
"Shawnee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","246","127","7","3","5","2","35","28","4","3","1,196","703","0","0","0","0","0","0","1,493","866","0","2,359","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","246","127","7","3","5","2","35","28","4","3","1,196","703","0","0","0","0","0","0","1,493","866","0","2,359","4",
"South Suburban Coll. of Cook Co.","","","","","","","","","","","","","","","","",
"Undergraduate","3,226","1,142","17","9","41","29","74","67","255","132","737","520","15","4","0","0","91","38","4,456","1,941","0","6,397","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","3,226","1,142","17","9","41","29","74","67","255","132","737","520","15","4","0","0","91","38","4,456","1,941","0","6,397","4",
"Southeastern Illinois College","","","","","","","","","","","","","","","","",
"Undergraduate","41","78","1","1","5","1","8","22","1","1","771","629","0","0","1","1","482","313","1,310","1,046","0","2,356","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","41","78","1","1","5","1","8","22","1","1","771","629","0","0","1","1","482","313","1,310","1,046","0","2,356","4",
"Southwestern Illinois College","","","","","","","","","","","","","","","","",
"Undergraduate","1,739","1,035","24","20","115","55","195","144","15","12","4,832","3,981","261","181","3","1","338","270","7,522","5,699","0","13,221","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,739","1,035","24","20","115","55","195","144","15","12","4,832","3,981","261","181","3","1","338","270","7,522","5,699","0","13,221","4",
"Spoon River College","","","","","","","","","","","","","","","","",
"Undergraduate","39","36","3","2","8","7","5","4","0","0","1,037","758","2","0","0","3","2","0","1,096","810","0","1,906","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","39","36","3","2","8","7","5","4","0","0","1,037","758","2","0","0","3","2","0","1,096","810","0","1,906","4",
"Triton College","","","","","","","","","","","","","","","","",
"Undergraduate","1,843","979","27","21","222","176","2,606","1,929","36","26","3,045","2,667","111","77","0","0","762","726","8,652","6,601","0","15,253","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,843","979","27","21","222","176","2,606","1,929","36","26","3,045","2,667","111","77","0","0","762","726","8,652","6,601","0","15,253","4",
"Waubonsee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","469","308","16","11","143","124","1,769","1,290","0","0","3,508","2,790","0","0","0","0","0","0","5,905","4,523","0","10,428","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","469","308","16","11","143","124","1,769","1,290","0","0","3,508","2,790","0","0","0","0","0","0","5,905","4,523","0","10,428","4",
" Total Enrollment at Community Colleges","","","","","","","","","","","","","","","","",
"Undergraduate","37,699","22,199","679","492","8,575","7,168","36,383","26,962","683","488","120,122","96,696","1,730","1,435","514","531","9,091","8,289","215,476","164,260","0","379,736","11",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12",
"Sector Total","37,699","22,199","679","492","8,575","7,168","36,383","26,962","683","488","120,122","96,696","1,730","1,435","514","531","9,091","8,289","215,476","164,260","0","379,736","14",
" Independent NFP Institutions:","","","","","","","","","","","","","","","","",
"Adler University","","","","","","","","","","","","","","","","",
"Undergraduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",
"Graduate","67","18","1","1","32","6","44","20","0","0","388","119","5","5","36","5","68","15","641","189","0","830","2",
"Total","67","18","1","1","32","6","44","20","0","0","388","119","5","5","36","5","68","15","641","189","0","830","4",
"American Academy of Art","","","","","","","","","","","","","","","","",
"Undergraduate","13","40","0","2","10","5","43","67","0","5","144","119","15","7","1","0","0","0","226","245","0","471","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","13","40","0","2","10","5","43","67","0","5","144","119","15","7","1","0","0","0","226","245","0","471","4",
"Augustana College","","","","","","","","","","","","","","","","",
"Undergraduate","33","27","5","5","27","24","47","39","6","4","1,172","848","26","10","13","18","132","96","1,461","1,071","0","2,532","1",
