"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
" Public Universities:","","","","","","","","","","","","","","","","",
"Chicago State University","","","","","","","","","","","","","","","","",
"Undergraduate","1,270","484","4","1","7","4","115","72","0","1","45","32","0","0","25","22","181","89","1,647","705","0","2,352","1",
"Graduate","429","184","2","1","57","46","38","15","0","0","86","60","0","0","85","184","24","15","721","505","0","1,226","2",
"Total","1,699","668","6","2","64","50","153","87","0","1","131","92","0","0","110","206","205","104","2,368","1,210","0","3,578","4",
"Eastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","664","453","10","7","36","21","243","167","1","3","2,449","1,517","82","50","43","67","94","50","3,622","2,335","0","5,957","1",
"Graduate","67","42","2","1","16","3","25","14","0","1","609","329","16","5","124","199","1","4","860","598","0","1,458","2",
"Total","731","495","12","8","52","24","268","181","1","4","3,058","1,846","98","55","167","266","95","54","4,482","2,933","0","7,415","4",
"Governors State University","","","","","","","","","","","","","","","","",
"Undergraduate","988","384","4","3","25","26","288","146","1","3","683","513","53","34","26","16","200","124","2,268","1,249","0","3,517","1",
"Graduate","599","151","2","0","31","16","121","45","0","1","575","222","32","4","93","290","81","39","1,534","768","0","2,302","2",
"Total","1,587","535","6","3","56","42","409","191","1","4","1,258","735","85","38","119","306","281","163","3,802","2,017","0","5,819","4",
"Illinois State University","","","","","","","","","","","","","","","","",
"Undergraduate","942","621","17","12","218","185","1,063","820","10","6","7,709","6,347","287","233","54","57","27","35","10,327","8,316","0","18,643","1",
"Graduate","85","44","1","2","29","12","80","43","0","0","1,178","594","32","15","137","128","6","10","1,548","848","0","2,396","2",
"Total","1,027","665","18","14","247","197","1,143","863","10","6","8,887","6,941","319","248","191","185","33","45","11,875","9,164","0","21,039","4",
"Northeastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","512","309","10","5","350","353","1,706","1,194","11","12","1,227","1,110","84","48","244","176","164","150","4,308","3,357","0","7,665","1",
"Graduate","98","60","3","3","84","38","205","111","2","0","631","380","23","11","71","55","64","34","1,181","692","0","1,873","2",
"Total","610","369","13","8","434","391","1,911","1,305","13","12","1,858","1,490","107","59","315","231","228","184","5,489","4,049","0","9,538","4",
"Northern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","1,249","960","10","8","312","401","1,168","1,184","6","8","3,781","4,129","286","237","97","172","30","41","6,939","7,140","0","14,079","1",
"Graduate","172","116","0","2","107","119","195","128","2","0","1,763","1,314","54","56","319","546","24","19","2,636","2,300","0","4,936","2",
"Total","1,421","1,076","10","10","419","520","1,363","1,312","8","8","5,544","5,443","340","293","416","718","54","60","9,575","9,440","0","19,015","4",
"Southern Illinois University Carbondale","","","","","","","","","","","","","","","","",
"Undergraduate","1,141","953","7","17","88","121","477","598","3","10","3,471","4,402","190","203","156","334","3","8","5,536","6,646","0","12,182","1",
