"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
"Graduate","295","153","12","3","49","50","55","46","0","0","1,457","1,355","0","0","406","553","216","149","2,490","2,309","0","4,799","2",
"Total","1,886","1,555","41","42","181","268","362","448","0","0","5,716","7,388","0","0","480","716","593","674","9,259","11,091","0","20,350","4",
"Southern Illinois University Edwardsville","","","","","","","","","","","","","","","","",
"Undergraduate","872","385","18","9","121","114","114","137","0","0","4,546","4,113","0","0","38","49","291","337","6,000","5,144","0","11,144","1",
"Graduate","136","57","5","1","41","22","31","15","0","0","1,345","783","0","0","89","149","63","59","1,710","1,086","0","2,796","2",
"Total","1,008","442","23","10","162","136","145","152","0","0","5,891","4,896","0","0","127","198","354","396","7,710","6,230","0","13,940","4",
"U of I at Chicago","","","","","","","","","","","","","","","","",
"Undergraduate","885","473","14","17","1,744","1,840","1,683","1,278","0","0","3,570","3,532","0","0","129","101","382","396","8,407","7,637","0","16,044","1",
"Graduate","632","257","14","10","829","607","544","286","0","0","3,112","2,014","0","0","854","970","389","278","6,374","4,422","0","10,796","2",
"Total","1,517","730","28","27","2,573","2,447","2,227","1,564","0","0","6,682","5,546","0","0","983","1,071","771","674","14,781","12,059","0","26,840","4",
"U of I at Springfield","","","","","","","","","","","","","","","","",
"Undergraduate","242","161","9","8","57","48","55","45","0","0","1,185","983","0","0","12","16","100","106","1,660","1,367","0","3,027","1",
"Graduate","104","48","8","1","33","30","20","15","0","0","803","608","0","0","63","112","48","57","1,079","871","0","1,950","2",
"Total","346","209","17","9","90","78","75","60","0","0","1,988","1,591","0","0","75","128","148","163","2,739","2,238","0","4,977","4",
"U of I at Urbana/Champaign","","","","","","","","","","","","","","","","",
"Undergraduate","1,253","840","37","50","1,777","2,372","1,039","1,081","0","0","8,959","10,343","0","0","1,048","1,784","424","470","14,537","16,940","0","31,477","1",
"Graduate","304","204","21","19","357","375","240","182","0","0","3,038","3,196","0","0","1,648","2,209","347","264","5,955","6,449","0","12,404","2",
"Total","1,557","1,044","58","69","2,134","2,747","1,279","1,263","0","0","11,997","13,539","0","0","2,696","3,993","771","734","20,492","23,389","0","43,881","4",
"Western Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","512","413","17","6","49","58","257","308","5","16","3,806","4,312","62","72","51","106","194","309","4,953","5,600","0","10,553","1",
"Graduate","47","31","3","1","12","11","37","17","1","1","1,003","595","3","2","121","150","49","42","1,276","850","0","2,126","2",
"Total","559","444","20","7","61","69","294","325","6","17","4,809","4,907","65","74","172","256","243","351","6,229","6,450","0","12,679","4",
" Total Enrollment at Public Universities","","","","","","","","","","","","","","","","",
"Undergraduate","13,030","7,303","281","246","5,081","5,899","6,946","5,691","6","19","48,276","47,588","76","77","1,763","2,595","3,509","3,681","78,968","73,099","0","152,067","11",
"Graduate","3,620","1,439","96","66","1,681","1,345","1,710","916","3","2","17,921","12,633","24","8","3,728","4,840","1,514","1,168","30,297","22,417","0","52,714","12",
"Sector Total","16,650","8,742","377","312","6,762","7,244","8,656","6,607","9","21","66,197","60,221","100","85","5,491","7,435","5,023","4,849","109,265","95,516","0","204,781","14",
" Community Colleges:","","","","","","","","","","","","","","","","",
"Black Hawk College","","","","","","","","","","","","","","","","",
"Undergraduate","304","265","21","6","83","58","412","219","0","0","2,944","1,934","0","0","10","7","1","3","3,775","2,492","0","6,267","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","304","265","21","6","83","58","412","219","0","0","2,944","1,934","0","0","10","7","1","3","3,775","2,492","0","6,267","4",
"Carl Sandburg College","","","","","","","","","","","","","","","","",
"Undergraduate","73","81","4","3","16","7","69","48","0","0","1,526","834","0","0","0","0","0","0","1,688","973","0","2,661","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","73","81","4","3","16","7","69","48","0","0","1,526","834","0","0","0","0","0","0","1,688","973","0","2,661","4",
"CCC - Harold Washington College","","","","","","","","","","","","","","","","",
"Undergraduate","1,937","1,169","24","15","588","582","1,305","960","0","0","893","768","0","0","2","6","100","115","4,849","3,615","0","8,464","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,937","1,169","24","15","588","582","1,305","960","0","0","893","768","0","0","2","6","100","115","4,849","3,615","0","8,464","4",
"CCC - Harry S Truman College","","","","","","","","","","","","","","","","",
"Undergraduate","1,654","1,073","29","17","1,034","660","2,724","2,842","0","0","1,630","1,090","0","0","2","2","260","157","7,333","5,841","0","13,174","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,654","1,073","29","17","1,034","660","2,724","2,842","0","0","1,630","1,090","0","0","2","2","260","157","7,333","5,841","0","13,174","4",
"CCC - Kennedy-King College","","","","","","","","","","","","","","","","",
"Undergraduate","4,174","2,188","10","10","166","82","157","152","0","0","58","84","0","0","0","0","70","29","4,635","2,545","0","7,180","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","4,174","2,188","10","10","166","82","157","152","0","0","58","84","0","0","0","0","70","29","4,635","2,545","0","7,180","4",
"CCC - Malcolm X College","","","","","","","","","","","","","","","","",
"Undergraduate","3,044","1,373","14","10","215","122","1,917","1,281","0","0","355","298","0","0","0","1","61","27","5,606","3,112","0","8,718","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","3,044","1,373","14","10","215","122","1,917","1,281","0","0","355","298","0","0","0","1","61","27","5,606","3,112","0","8,718","4",
"CCC - Olive-Harvey College","","","","","","","","","","","","","","","","",
"Undergraduate","2,787","1,127","13","2","33","16","452","237","0","0","40","23","0","0","0","0","32","15","3,357","1,420","0","4,777","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","2,787","1,127","13","2","33","16","452","237","0","0","40","23","0","0","0","0","32","15","3,357","1,420","0","4,777","4",
"CCC - Richard J. Daley College","","","","","","","","","","","","","","","","",
"Undergraduate","1,274","612","7","1","83","63","4,160","2,927","0","0","434","360","0","0","0","0","43","27","6,001","3,990","0","9,991","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,274","612","7","1","83","63","4,160","2,927","0","0","434","360","0","0","0","0","43","27","6,001","3,990","0","9,991","4",
"CCC - Wilbur Wright College","","","","","","","","","","","","","","","","",
"Undergraduate","767","527","34","27","559","521","3,751","2,629","0","0","2,238","1,640","0","0","1","1","96","75","7,446","5,420","0","12,866","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","767","527","34","27","559","521","3,751","2,629","0","0","2,238","1,640","0","0","1","1","96","75","7,446","5,420","0","12,866","4",
"College of DuPage","","","","","","","","","","","","","","","","",
"Undergraduate","962","758","42","33","1,420","1,223","1,824","1,349","0","0","8,693","7,535","0","0","54","53","1,649","1,488","14,644","12,439","0","27,083","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","962","758","42","33","1,420","1,223","1,824","1,349","0","0","8,693","7,535","0","0","54","53","1,649","1,488","14,644","12,439","0","27,083","4",
"College of Lake County","","","","","","","","","","","","","","","","",
"Undergraduate","851","628","22","18","620","495","2,688","1,862","0","0","5,176","4,263","0","0","0","0","779","690","10,136","7,956","0","18,092","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","851","628","22","18","620","495","2,688","1,862","0","0","5,176","4,263","0","0","0","0","779","690","10,136","7,956","0","18,092","4",
"Danville Area Community College","","","","","","","","","","","","","","","","",
"Undergraduate","279","146","3","1","18","14","44","41","0","0","1,485","951","0","0","0","1","300","301","2,129","1,455","0","3,584","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","279","146","3","1","18","14","44","41","0","0","1,485","951","0","0","0","1","300","301","2,129","1,455","0","3,584","4",
"Elgin Community College","","","","","","","","","","","","","","","","",
"Undergraduate","390","262","24","11","415","349","2,166","1,600","0","0","3,489","2,968","0","0","19","11","0","0","6,503","5,201","0","11,704","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","390","262","24","11","415","349","2,166","1,600","0","0","3,489","2,968","0","0","19","11","0","0","6,503","5,201","0","11,704","4",
"Harper College","","","","","","","","","","","","","","","","",
"Undergraduate","398","336","23","13","989","790","1,428","1,144","0","0","5,086","4,205","0","0","61","35","668","535","8,653","7,058","0","15,711","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","398","336","23","13","989","790","1,428","1,144","0","0","5,086","4,205","0","0","61","35","668","535","8,653","7,058","0","15,711","4",
"Heartland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","272","235","15","9","96","63","100","86","0","0","2,201","1,954","0","0","0","0","131","104","2,815","2,451","0","5,266","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","272","235","15","9","96","63","100","86","0","0","2,201","1,954","0","0","0","0","131","104","2,815","2,451","0","5,266","4",
"Highland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","150","71","16","7","13","8","27","19","0","0","1,347","797","0","0","0","0","0","0","1,553","902","0","2,455","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","150","71","16","7","13","8","27","19","0","0","1,347","797","0","0","0","0","0","0","1,553","902","0","2,455","4",
"Illinois Central College","","","","","","","","","","","","","","","","",
"Undergraduate","966","566","31","15","156","119","189","161","0","0","5,914","4,753","0","0","20","11","83","65","7,359","5,690","0","13,049","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","966","566","31","15","156","119","189","161","0","0","5,914","4,753","0","0","20","11","83","65","7,359","5,690","0","13,049","4",
"Illinois Eastern - Frontier","","","","","","","","","","","","","","","","",
"Undergraduate","4","4","2","3","4","4","7","2","0","0","1,173","806","0","0","0","0","0","0","1,190","819","0","2,009","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","4","4","2","3","4","4","7","2","0","0","1,173","806","0","0","0","0","0","0","1,190","819","0","2,009","4",
"Illinois Eastern - Lincoln Trail","","","","","","","","","","","","","","","","",
"Undergraduate","14","151","3","1","4","9","6","33","0","0","582","428","0","0","0","0","0","0","609","622","0","1,231","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","14","151","3","1","4","9","6","33","0","0","582","428","0","0","0","0","0","0","609","622","0","1,231","4",
"Illinois Eastern - Olney Central","","","","","","","","","","","","","","","","",
"Undergraduate","6","15","2","0","14","10","3","5","0","0","995","577","0","0","0","0","0","0","1,020","607","0","1,627","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","6","15","2","0","14","10","3","5","0","0","995","577","0","0","0","0","0","0","1,020","607","0","1,627","4",
"Illinois Eastern - Wabash Valley","","","","","","","","","","","","","","","","",
"Undergraduate","44","36","5","1","17","29","12","38","0","0","2,123","2,505","0","0","0","0","0","0","2,201","2,609","0","4,810","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","44","36","5","1","17","29","12","38","0","0","2,123","2,505","0","0","0","0","0","0","2,201","2,609","0","4,810","4",
"Illinois Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","43","96","8","8","27","20","180","135","0","0","2,219","1,555","0","0","0","0","134","104","2,611","1,918","0","4,529","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","43","96","8","8","27","20","180","135","0","0","2,219","1,555","0","0","0","0","134","104","2,611","1,918","0","4,529","4",
"John A. Logan College","","","","","","","","","","","","","","","","",
"Undergraduate","369","264","23","15","51","50","69","53","0","0","4,724","2,950","0","0","0","0","0","0","5,236","3,332","0","8,568","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","369","264","23","15","51","50","69","53","0","0","4,724","2,950","0","0","0","0","0","0","5,236","3,332","0","8,568","4",
"John Wood Community College","","","","","","","","","","","","","","","","",
"Undergraduate","55","44","2","4","15","9","17","8","0","0","1,443","859","0","0","0","0","143","158","1,675","1,082","0","2,757","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","55","44","2","4","15","9","17","8","0","0","1,443","859","0","0","0","0","143","158","1,675","1,082","0","2,757","4",
"Joliet Junior College","","","","","","","","","","","","","","","","",
"Undergraduate","940","660","11","20","202","192","1,315","848","0","0","5,662","4,494","0","0","9","4","450","481","8,589","6,699","0","15,288","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","940","660","11","20","202","192","1,315","848","0","0","5,662","4,494","0","0","9","4","450","481","8,589","6,699","0","15,288","4",
"Kankakee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","423","218","13","8","32","13","150","90","0","0","2,032","1,286","0","0","3","0","14","16","2,667","1,631","0","4,298","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","423","218","13","8","32","13","150","90","0","0","2,032","1,286","0","0","3","0","14","16","2,667","1,631","0","4,298","4",
"Kaskaskia College","","","","","","","","","","","","","","","","",
"Undergraduate","162","105","21","16","30","18","27","25","0","0","3,012","1,886","0","0","15","20","0","0","3,267","2,070","0","5,337","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","162","105","21","16","30","18","27","25","0","0","3,012","1,886","0","0","15","20","0","0","3,267","2,070","0","5,337","4",
"Kishwaukee College","","","","","","","","","","","","","","","","",
"Undergraduate","397","312","16","5","61","51","287","246","0","0","1,748","1,610","0","0","1","1","0","0","2,510","2,225","0","4,735","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","397","312","16","5","61","51","287","246","0","0","1,748","1,610","0","0","1","1","0","0","2,510","2,225","0","4,735","4",
"Lake Land College","","","","","","","","","","","","","","","","",
"Undergraduate","94","648","9","16","14","26","39","166","0","0","3,570","3,362","0","0","0","1","0","0","3,726","4,219","0","7,945","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","94","648","9","16","14","26","39","166","0","0","3,570","3,362","0","0","0","1","0","0","3,726","4,219","0","7,945","4",
"Lewis &amp; Clark Community College","","","","","","","","","","","","","","","","",
"Undergraduate","337","240","12","12","31","22","44","48","0","0","3,591","2,727","0","0","0","0","601","514","4,616","3,563","0","8,179","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","337","240","12","12","31","22","44","48","0","0","3,591","2,727","0","0","0","0","601","514","4,616","3,563","0","8,179","4",
"Lincoln Land Community College","","","","","","","","","","","","","","","","",
"Undergraduate","359","211","9","11","47","38","75","41","0","0","4,003","2,875","0","0","4","4","0","0","4,497","3,180","0","7,677","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","359","211","9","11","47","38","75","41","0","0","4,003","2,875","0","0","4","4","0","0","4,497","3,180","0","7,677","4",
"McHenry County College","","","","","","","","","","","","","","","","",
"Undergraduate","29","45","10","8","61","55","455","388","0","0","3,088","2,559","0","0","63","50","0","0","3,706","3,105","0","6,811","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","29","45","10","8","61","55","455","388","0","0","3,088","2,559","0","0","63","50","0","0","3,706","3,105","0","6,811","4",
"Moraine Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","1,016","610","19","16","206","249","1,390","1,252","0","0","6,828","5,913","0","0","121","154","0","0","9,580","8,194","0","17,774","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,016","610","19","16","206","249","1,390","1,252","0","0","6,828","5,913","0","0","121","154","0","0","9,580","8,194","0","17,774","4",
"Morton College","","","","","","","","","","","","","","","","",
"Undergraduate","185","77","1","0","32","40","2,395","1,700","0","0","471","294","0","0","54","41","0","0","3,138","2,152","0","5,290","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","185","77","1","0","32","40","2,395","1,700","0","0","471","294","0","0","54","41","0","0","3,138","2,152","0","5,290","4",
"Oakton Community College","","","","","","","","","","","","","","","","",
"Undergraduate","399","294","13","22","1,053","1,011","642","511","0","0","3,496","2,827","0","0","450","410","497","462","6,550","5,537","0","12,087","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","399","294","13","22","1,053","1,011","642","511","0","0","3,496","2,827","0","0","450","410","497","462","6,550","5,537","0","12,087","4",
"Parkland College","","","","","","","","","","","","","","","","",
"Undergraduate","732","561","19","19","224","175","228","199","0","0","3,882","3,255","0","0","172","167","0","0","5,257","4,376","0","9,633","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","732","561","19","19","224","175","228","199","0","0","3,882","3,255","0","0","172","167","0","0","5,257","4,376","0","9,633","4",
"Prairie State College","","","","","","","","","","","","","","","","",
"Undergraduate","2,121","1,149","15","10","46","21","310","203","0","0","992","796","0","0","0","0","95","96","3,579","2,275","0","5,854","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","2,121","1,149","15","10","46","21","310","203","0","0","992","796","0","0","0","0","95","96","3,579","2,275","0","5,854","4",
"Rend Lake College","","","","","","","","","","","","","","","","",
"Undergraduate","147","222","9","13","21","8","31","56","0","0","2,864","2,497","0","0","2","1","0","0","3,074","2,797","0","5,871","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","147","222","9","13","21","8","31","56","0","0","2,864","2,497","0","0","2","1","0","0","3,074","2,797","0","5,871","4",
"Richland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","356","272","10","4","31","9","24","39","0","0","1,689","1,160","0","0","0","1","0","0","2,110","1,485","0","3,595","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","356","272","10","4","31","9","24","39","0","0","1,689","1,160","0","0","0","1","0","0","2,110","1,485","0","3,595","4",
"Rock Valley College","","","","","","","","","","","","","","","","",
"Undergraduate","490","313","8","15","149","127","430","327","0","0","3,854","2,890","0","0","7","7","26","16","4,964","3,695","0","8,659","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","490","313","8","15","149","127","430","327","0","0","3,854","2,890","0","0","7","7","26","16","4,964","3,695","0","8,659","4",
"Sauk Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","38","42","7","8","14","9","103","84","0","0","1,335","826","0","0","0","1","20","17","1,517","987","0","2,504","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","38","42","7","8","14","9","103","84","0","0","1,335","826","0","0","0","1","20","17","1,517","987","0","2,504","4",
"Shawnee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","299","158","8","6","7","5","44","29","0","0","1,377","898","0","0","0","0","0","3","1,735","1,099","0","2,834","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","299","158","8","6","7","5","44","29","0","0","1,377","898","0","0","0","0","0","3","1,735","1,099","0","2,834","4",
"South Suburban Coll. of Cook Co.","","","","","","","","","","","","","","","","",
"Undergraduate","3,679","1,344","21","6","48","31","393","226","0","0","995","524","0","0","6","6","0","0","5,142","2,137","0","7,279","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","3,679","1,344","21","6","48","31","393","226","0","0","995","524","0","0","6","6","0","0","5,142","2,137","0","7,279","4",
"Southeastern Illinois College","","","","","","","","","","","","","","","","",
"Undergraduate","76","153","1","1","8","4","17","26","0","0","1,477","1,161","0","0","1","4","7","5","1,587","1,354","0","2,941","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","76","153","1","1","8","4","17","26","0","0","1,477","1,161","0","0","1","4","7","5","1,587","1,354","0","2,941","4",
"Southwestern Illinois College","","","","","","","","","","","","","","","","",
"Undergraduate","1,764","1,036","25","20","133","81","198","131","0","0","5,462","4,919","0","0","12","13","333","313","7,927","6,513","0","14,440","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,764","1,036","25","20","133","81","198","131","0","0","5,462","4,919","0","0","12","13","333","313","7,927","6,513","0","14,440","4",
"Spoon River College","","","","","","","","","","","","","","","","",
"Undergraduate","38","112","4","1","8","11","3","33","0","0","1,079","826","0","0","0","2","1","0","1,133","985","0","2,118","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","38","112","4","1","8","11","3","33","0","0","1,079","826","0","0","0","2","1","0","1,133","985","0","2,118","4",
"Triton College","","","","","","","","","","","","","","","","",
"Undergraduate","1,874","1,048","22","19","261","236","2,754","2,179","0","0","3,141","2,823","0","0","51","41","657","600","8,760","6,946","0","15,706","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,874","1,048","22","19","261","236","2,754","2,179","0","0","3,141","2,823","0","0","51","41","657","600","8,760","6,946","0","15,706","4",
"Waubonsee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","429","312","11","7","181","125","1,835","1,453","0","0","3,398","2,781","0","0","0","0","0","0","5,854","4,678","0","10,532","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","429","312","11","7","181","125","1,835","1,453","0","0","3,398","2,781","0","0","0","0","0","0","5,854","4,678","0","10,532","4",
" Total Enrollment at Community Colleges","","","","","","","","","","","","","","","","",
"Undergraduate","37,201","22,169","671","493","9,536","7,860","36,896","28,131","0","0","125,814","99,326","0","0","1,140","1,056","7,251","6,416","218,509","165,451","0","383,960","11",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12",
"Sector Total","37,201","22,169","671","493","9,536","7,860","36,896","28,131","0","0","125,814","99,326","0","0","1,140","1,056","7,251","6,416","218,509","165,451","0","383,960","14",
" Independent NFP Institutions:","","","","","","","","","","","","","","","","",
"Adler University","","","","","","","","","","","","","","","","",
"Undergraduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",
"Graduate","64","13","0","1","22","5","35","15","0","0","330","105","0","0","35","2","65","11","551","152","0","703","2",
"Total","64","13","0","1","22","5","35","15","0","0","330","105","0","0","35","2","65","11","551","152","0","703","4",
"American Academy of Art","","","","","","","","","","","","","","","","",
"Undergraduate","10","33","0","3","6","5","31","61","0","2","128","107","7","6","1","0","0","0","183","217","0","400","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","10","33","0","3","6","5","31","61","0","2","128","107","7","6","1","0","0","0","183","217","0","400","4",
"Augustana College","","","","","","","","","","","","","","","","",
"Undergraduate","24","29","5","1","27","29","43","33","0","0","1,140","862","0","0","12","12","149","106","1,400","1,072","0","2,472","1",
