"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
" Public Universities:","","","","","","","","","","","","","","","","",
"Chicago State University","","","","","","","","","","","","","","","","",
"Undergraduate","3,389","1,216","5","3","14","21","230","116","0","0","65","91","0","0","18","8","156","66","3,877","1,521","0","5,398","1",
"Graduate","804","261","3","2","54","26","76","48","0","0","282","197","0","0","4","5","49","26","1,272","565","0","1,837","2",
"Total","4,193","1,477","8","5","68","47","306","164","0","0","347","288","0","0","22","13","205","92","5,149","2,086","0","7,235","4",
"Eastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","737","460","29","23","52","56","167","131","0","0","4,577","3,278","0","0","22","29","350","314","5,934","4,291","0","10,225","1",
"Graduate","58","25","1","0","13","13","13","5","0","0","969","515","0","0","24","59","27","19","1,105","636","0","1,741","2",
"Total","795","485","30","23","65","69","180","136","0","0","5,546","3,793","0","0","46","88","377","333","7,039","4,927","0","11,966","4",
"Governors State University","","","","","","","","","","","","","","","","",
"Undergraduate","766","235","9","3","19","18","149","98","1","3","854","478","14","5","0","2","87","50","1,899","892","0","2,791","1",
"Graduate","800","180","4","6","25","16","185","60","2","1","963","417","21","6","34","69","58","36","2,092","791","0","2,883","2",
"Total","1,566","415","13","9","44","34","334","158","3","4","1,817","895","35","11","34","71","145","86","3,991","1,683","0","5,674","4",
"Illinois State University","","","","","","","","","","","","","","","","",
"Undergraduate","617","401","43","36","181","183","478","376","0","0","8,538","6,724","0","0","70","54","346","342","10,273","8,116","0","18,389","1",
"Graduate","81","39","5","6","35","24","41","18","0","0","1,447","727","0","0","148","130","56","38","1,813","982","0","2,795","2",
"Total","698","440","48","42","216","207","519","394","0","0","9,985","7,451","0","0","218","184","402","380","12,086","9,098","0","21,184","4",
"Northeastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","595","313","18","12","470","420","1,732","1,049","0","0","1,966","1,618","0","0","226","172","319","281","5,326","3,865","0","9,191","1",
"Graduate","131","67","5","5","76","50","212","96","0","0","1,042","514","0","0","60","36","93","53","1,619","821","0","2,440","2",
"Total","726","380","23","17","546","470","1,944","1,145","0","0","3,008","2,132","0","0","286","208","412","334","6,945","4,686","0","11,631","4",
"Northern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","1,571","1,004","53","40","465","551","735","670","0","0","5,951","6,083","0","0","75","111","483","485","9,333","8,944","0","18,277","1",
"Graduate","228","117","15","12","157","121","256","128","0","0","2,460","1,712","0","0","277","398","119","147","3,512","2,635","0","6,147","2",
"Total","1,799","1,121","68","52","622","672","991","798","0","0","8,411","7,795","0","0","352","509","602","632","12,845","11,579","0","24,424","4",
"Southern Illinois University Carbondale","","","","","","","","","","","","","","","","",
"Undergraduate","1,591","1,402","29","39","132","218","307","402","0","0","4,259","6,033","0","0","74","163","377","525","6,769","8,782","0","15,551","1",
