"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
"Graduate","0","0","0","0","0","0","1","0","0","0","42","10","0","0","0","0","0","0","43","10","0","53","2",
"Total","0","0","0","0","0","0","1","0","0","0","42","10","0","0","0","0","0","0","43","10","0","53","4",
"Upper Iowa University (IA)","","","","","","","","","","","","","","","","",
"Undergraduate","1","0","0","0","0","0","0","0","0","0","6","2","0","0","0","0","0","0","7","2","0","9","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1","0","0","0","0","0","0","0","0","0","6","2","0","0","0","0","0","0","7","2","0","9","4",
"Webster University (MO)","","","","","","","","","","","","","","","","",
"Undergraduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",
"Graduate","31","22","0","1","8","8","6","6","0","0","101","99","0","0","0","0","16","12","162","148","0","310","2",
"Total","31","22","0","1","8","8","6","6","0","0","101","99","0","0","0","0","16","12","162","148","0","310","4",
" Total Enrollment at Out-of-State Institutions","","","","","","","","","","","","","","","","",
"Undergraduate","1,225","602","21","6","60","102","342","412","0","0","2,314","1,417","0","0","57","28","1,958","684","5,977","3,251","0","9,228","11",
"Graduate","1,589","412","20","5","201","68","365","126","0","0","3,022","1,162","0","0","124","72","778","294","6,099","2,139","0","8,238","12",
"Sector Total","2,814","1,014","41","11","261","170","707","538","0","0","5,336","2,579","0","0","181","100","2,736","978","12,076","5,390","0","17,466","14",
" Total Enrollment All Sectors Combined","","","","","","","","","","","","","","","","",
"Undergraduate","67,784","38,722","1,447","1,037","19,602","17,825","53,702","40,497","40","42","239,808","194,459","107","69","4,742","5,417","17,479","13,634","404,711","311,702","0","716,413","101",
"Graduate","12,350","4,540","240","159","5,047","4,519","4,727","2,681","11","10","51,216","34,385","18","16","7,288","10,639","9,140","6,648","90,037","63,597","0","153,634","102",
"Grand Total","80,134","43,262","1,687","1,196","24,649","22,344","58,429","43,178","51","52","291,024","228,844","125","85","12,030","16,056","26,619","20,282","494,748","375,299","0","870,047","104",
