"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
"Graduate","284","156","7","5","65","55","82","49","2","1","1,529","1,452","39","33","383","598","39","38","2,430","2,387","0","4,817","2",
"Total","2,071","1,613","39","42","156","229","419","490","13","24","5,621","7,178","218","219","494","832","63","96","9,094","10,723","0","19,817","4",
"Southern Illinois University Edwardsville","","","","","","","","","","","","","","","","",
"Undergraduate","1,048","535","19","14","81","91","192","198","10","7","4,398","4,227","159","119","35","52","105","138","6,047","5,381","0","11,428","1",
"Graduate","137","57","2","2","38","28","41","28","3","2","1,275","767","21","19","90","138","74","85","1,681","1,126","0","2,807","2",
"Total","1,185","592","21","16","119","119","233","226","13","9","5,673","4,994","180","138","125","190","179","223","7,728","6,507","0","14,235","4",
"U of I at Chicago","","","","","","","","","","","","","","","","",
"Undergraduate","871","491","10","13","1,763","1,843","2,099","1,612","46","40","3,556","3,621","201","170","125","111","187","166","8,858","8,067","0","16,925","1",
"Graduate","677","250","7","4","811","597","585","337","11","7","3,372","2,192","108","60","868","899","219","162","6,658","4,508","0","11,166","2",
"Total","1,548","741","17","17","2,574","2,440","2,684","1,949","57","47","6,928","5,813","309","230","993","1,010","406","328","15,516","12,575","0","28,091","4",
"U of I at Springfield","","","","","","","","","","","","","","","","",
"Undergraduate","211","134","3","9","40","56","73","62","3","2","1,174","1,098","42","24","31","18","58","74","1,635","1,477","0","3,112","1",
"Graduate","104","59","3","4","36","43","20","32","0","1","759","660","11","8","74","137","40","34","1,047","978","0","2,025","2",
"Total","315","193","6","13","76","99","93","94","3","3","1,933","1,758","53","32","105","155","98","108","2,682","2,455","0","5,137","4",
"U of I at Urbana/Champaign","","","","","","","","","","","","","","","","",
"Undergraduate","1,081","696","16","23","1,797","2,543","1,061","1,189","21","33","8,527","10,200","328","311","1,575","2,622","107","126","14,513","17,743","0","32,256","1",
"Graduate","291","173","14","9","351","373","299","219","2","5","2,983","2,954","88","94","1,703","2,277","174","142","5,905","6,246","0","12,151","2",
"Total","1,372","869","30","32","2,148","2,916","1,360","1,408","23","38","11,510","13,154","416","405","3,278","4,899","281","268","20,418","23,989","0","44,407","4",
"Western Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","841","604","12","8","39","46","302","349","5","8","3,511","4,050","85","77","35","79","189","280","5,019","5,501","0","10,520","1",
"Graduate","67","41","5","0","12","6","24","21","0","0","951","549","11","6","90","166","40","45","1,200","834","0","2,034","2",
"Total","908","645","17","8","51","52","326","370","5","8","4,462","4,599","96","83","125","245","229","325","6,219","6,335","0","12,554","4",
" Total Enrollment at Public Universities","","","","","","","","","","","","","","","","",
"Undergraduate","13,647","7,706","175","167","4,865","5,900","8,000","6,848","137","146","46,056","46,817","1,434","1,260","2,316","3,514","1,748","1,706","78,378","74,064","0","152,442","11",
"Graduate","3,565","1,446","55","38","1,687","1,379","1,703","1,002","22","24","17,153","12,310","353","275","3,681","4,786","983","766","29,202","22,026","0","51,228","12",
"Sector Total","17,212","9,152","230","205","6,552","7,279","9,703","7,850","159","170","63,209","59,127","1,787","1,535","5,997","8,300","2,731","2,472","107,580","96,090","0","203,670","14",
" Community Colleges:","","","","","","","","","","","","","","","","",
"Black Hawk College","","","","","","","","","","","","","","","","",
"Undergraduate","316","229","10","5","37","46","294","170","6","6","2,833","1,823","53","80","0","0","87","80","3,663","2,412","0","6,075","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","316","229","10","5","37","46","294","170","6","6","2,833","1,823","53","80","0","0","87","80","3,663","2,412","0","6,075","4",
"Carl Sandburg College","","","","","","","","","","","","","","","","",
"Undergraduate","59","60","3","2","8","6","58","27","0","0","1,295","617","30","56","0","0","71","47","1,541","798","0","2,339","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","59","60","3","2","8","6","58","27","0","0","1,295","617","30","56","0","0","71","47","1,541","798","0","2,339","4",
"CCC - Harold Washington College","","","","","","","","","","","","","","","","",
"Undergraduate","1,930","1,319","22","14","504","577","1,563","1,167","1","5","790","807","27","122","1","11","119","28","4,958","4,049","0","9,007","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,930","1,319","22","14","504","577","1,563","1,167","1","5","790","807","27","122","1","11","119","28","4,958","4,049","0","9,007","4",
"CCC - Harry S Truman College","","","","","","","","","","","","","","","","",
"Undergraduate","1,617","842","20","12","546","353","894","649","10","4","1,168","809","14","86","2","1","174","20","4,451","2,770","0","7,221","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,617","842","20","12","546","353","894","649","10","4","1,168","809","14","86","2","1","174","20","4,451","2,770","0","7,221","4",
"CCC - Kennedy-King College","","","","","","","","","","","","","","","","",
"Undergraduate","2,791","1,275","8","4","28","18","80","71","2","1","72","44","2","27","5","0","67","3","3,056","1,442","0","4,498","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","2,791","1,275","8","4","28","18","80","71","2","1","72","44","2","27","5","0","67","3","3,056","1,442","0","4,498","4",
"CCC - Malcolm X College","","","","","","","","","","","","","","","","",
"Undergraduate","2,586","861","10","4","108","78","627","289","1","1","172","163","12","29","0","0","56","17","3,577","1,437","0","5,014","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","2,586","861","10","4","108","78","627","289","1","1","172","163","12","29","0","0","56","17","3,577","1,437","0","5,014","4",
"CCC - Olive-Harvey College","","","","","","","","","","","","","","","","",
"Undergraduate","2,370","1,116","5","3","16","6","276","155","1","1","33","23","4","8","0","0","31","6","2,738","1,316","0","4,054","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","2,370","1,116","5","3","16","6","276","155","1","1","33","23","4","8","0","0","31","6","2,738","1,316","0","4,054","4",
"CCC - Richard J. Daley College","","","","","","","","","","","","","","","","",
"Undergraduate","1,315","532","6","7","53","33","1,410","810","2","3","240","183","1","39","0","1","47","6","3,079","1,609","0","4,688","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,315","532","6","7","53","33","1,410","810","2","3","240","183","1","39","0","1","47","6","3,079","1,609","0","4,688","4",
"CCC - Wilbur Wright College","","","","","","","","","","","","","","","","",
"Undergraduate","792","467","22","19","438","449","2,603","1,799","13","23","1,614","1,199","15","67","3","3","90","16","5,591","4,041","0","9,632","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","792","467","22","19","438","449","2,603","1,799","13","23","1,614","1,199","15","67","3","3","90","16","5,591","4,041","0","9,632","4",
"College of DuPage","","","","","","","","","","","","","","","","",
"Undergraduate","1,029","780","34","25","1,097","1,078","1,424","1,212","20","23","8,175","7,535","185","449","49","47","417","201","12,446","11,334","0","23,780","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,029","780","34","25","1,097","1,078","1,424","1,212","20","23","8,175","7,535","185","449","49","47","417","201","12,446","11,334","0","23,780","4",
"College of Lake County","","","","","","","","","","","","","","","","",
"Undergraduate","819","541","21","14","461","391","1,656","1,306","15","12","4,682","3,896","100","651","0","0","674","93","8,421","6,911","0","15,332","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","819","541","21","14","461","391","1,656","1,306","15","12","4,682","3,896","100","651","0","0","674","93","8,421","6,911","0","15,332","4",
"Danville Area Community College","","","","","","","","","","","","","","","","",
"Undergraduate","249","296","6","7","29","11","69","125","48","8","1,542","1,181","0","159","1","1","504","2","2,450","1,788","0","4,238","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","249","296","6","7","29","11","69","125","48","8","1,542","1,181","0","159","1","1","504","2","2,450","1,788","0","4,238","4",
"Elgin Community College","","","","","","","","","","","","","","","","",
"Undergraduate","360","241","11","12","304","302","1,313","960","5","3","3,142","2,720","70","142","56","47","137","82","5,410","4,497","0","9,907","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","360","241","11","12","304","302","1,313","960","5","3","3,142","2,720","70","142","56","47","137","82","5,410","4,497","0","9,907","4",
"Harper College","","","","","","","","","","","","","","","","",
"Undergraduate","439","378","7","6","636","596","1,122","774","131","127","4,962","4,022","134","397","19","10","510","132","7,958","6,444","0","14,402","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","439","378","7","6","636","596","1,122","774","131","127","4,962","4,022","134","397","19","10","510","132","7,958","6,444","0","14,402","4",
"Heartland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","293","247","6","2","54","35","91","91","4","8","2,293","2,040","56","71","15","20","60","95","2,911","2,570","0","5,481","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","293","247","6","2","54","35","91","91","4","8","2,293","2,040","56","71","15","20","60","95","2,911","2,570","0","5,481","4",
"Highland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","135","77","22","15","18","3","20","14","0","2","1,076","683","20","13","0","0","26","39","1,336","827","0","2,163","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","135","77","22","15","18","3","20","14","0","2","1,076","683","20","13","0","0","26","39","1,336","827","0","2,163","4",
"Illinois Central College","","","","","","","","","","","","","","","","",
"Undergraduate","906","530","20","15","143","101","174","166","6","6","5,440","4,174","171","72","2","3","67","218","6,976","5,238","0","12,214","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","906","530","20","15","143","101","174","166","6","6","5,440","4,174","171","72","2","3","67","218","6,976","5,238","0","12,214","4",
"Illinois Eastern - Frontier","","","","","","","","","","","","","","","","",
"Undergraduate","1","8","2","2","4","3","9","7","0","0","1,200","862","17","0","0","0","0","18","1,234","899","0","2,133","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1","8","2","2","4","3","9","7","0","0","1,200","862","17","0","0","0","0","18","1,234","899","0","2,133","4",
"Illinois Eastern - Lincoln Trail","","","","","","","","","","","","","","","","",
"Undergraduate","10","19","1","0","10","5","4","4","0","0","607","386","5","0","0","0","0","4","636","419","0","1,055","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","10","19","1","0","10","5","4","4","0","0","607","386","5","0","0","0","0","4","636","419","0","1,055","4",
"Illinois Eastern - Olney Central","","","","","","","","","","","","","","","","",
"Undergraduate","13","16","3","1","10","3","5","6","0","1","918","470","4","0","1","0","0","6","956","501","0","1,457","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","13","16","3","1","10","3","5","6","0","1","918","470","4","0","1","0","0","6","956","501","0","1,457","4",
"Illinois Eastern - Wabash Valley","","","","","","","","","","","","","","","","",
"Undergraduate","25","54","4","14","13","32","10","22","0","0","2,035","3,179","18","0","0","0","0","7","2,094","3,319","0","5,413","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","25","54","4","14","13","32","10","22","0","0","2,035","3,179","18","0","0","0","0","7","2,094","3,319","0","5,413","4",
"Illinois Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","38","41","0","0","0","0","157","90","0","0","2,211","1,502","3","104","0","0","167","6","2,579","1,740","0","4,319","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","38","41","0","0","0","0","157","90","0","0","2,211","1,502","3","104","0","0","167","6","2,579","1,740","0","4,319","4",
"John A. Logan College","","","","","","","","","","","","","","","","",
"Undergraduate","263","185","12","11","42","34","66","45","0","0","3,857","2,381","16","79","0","0","102","25","4,367","2,751","0","7,118","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","263","185","12","11","42","34","66","45","0","0","3,857","2,381","16","79","0","0","102","25","4,367","2,751","0","7,118","4",
"John Wood Community College","","","","","","","","","","","","","","","","",
"Undergraduate","58","37","2","5","8","5","7","12","1","0","1,245","818","13","58","0","0","43","13","1,377","948","0","2,325","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","58","37","2","5","8","5","7","12","1","0","1,245","818","13","58","0","0","43","13","1,377","948","0","2,325","4",
"Joliet Junior College","","","","","","","","","","","","","","","","",
"Undergraduate","1,054","690","23","36","73","48","1,364","917","8","1","5,055","4,167","208","217","8","2","250","224","8,059","6,286","0","14,345","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,054","690","23","36","73","48","1,364","917","8","1","5,055","4,167","208","217","8","2","250","224","8,059","6,286","0","14,345","4",
"Kankakee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","518","244","12","4","26","12","182","114","1","4","1,976","1,242","13","19","1","4","24","22","2,762","1,656","0","4,418","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","518","244","12","4","26","12","182","114","1","4","1,976","1,242","13","19","1","4","24","22","2,762","1,656","0","4,418","4",
"Kaskaskia College","","","","","","","","","","","","","","","","",
"Undergraduate","163","111","12","10","22","16","32","25","3","0","2,930","1,825","41","12","9","8","21","46","3,238","2,048","0","5,286","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","163","111","12","10","22","16","32","25","3","0","2,930","1,825","41","12","9","8","21","46","3,238","2,048","0","5,286","4",
"Kishwaukee College","","","","","","","","","","","","","","","","",
"Undergraduate","498","388","11","12","45","40","223","239","6","4","1,744","1,534","19","37","0","0","22","27","2,576","2,273","0","4,849","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","498","388","11","12","45","40","223","239","6","4","1,744","1,534","19","37","0","0","22","27","2,576","2,273","0","4,849","4",
"Lake Land College","","","","","","","","","","","","","","","","",
"Undergraduate","157","1,264","10","20","13","27","56","325","2","2","3,255","3,342","17","216","0","0","137","20","3,650","5,213","0","8,863","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","157","1,264","10","20","13","27","56","325","2","2","3,255","3,342","17","216","0","0","137","20","3,650","5,213","0","8,863","4",
"Lewis &amp; Clark Community College","","","","","","","","","","","","","","","","",
"Undergraduate","339","263","16","15","21","30","42","74","3","4","3,978","3,039","9","211","4","5","190","4","4,597","3,650","0","8,247","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","339","263","16","15","21","30","42","74","3","4","3,978","3,039","9","211","4","5","190","4","4,597","3,650","0","8,247","4",
"Lincoln Land Community College","","","","","","","","","","","","","","","","",
"Undergraduate","426","295","15","12","60","44","80","64","2","3","3,388","2,420","16","170","0","4","251","18","4,240","3,028","0","7,268","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","426","295","15","12","60","44","80","64","2","3","3,388","2,420","16","170","0","4","251","18","4,240","3,028","0","7,268","4",
"McHenry County College","","","","","","","","","","","","","","","","",
"Undergraduate","39","49","14","15","79","56","365","282","0","0","3,089","2,431","0","30","27","20","66","0","3,679","2,883","0","6,562","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","39","49","14","15","79","56","365","282","0","0","3,089","2,431","0","30","27","20","66","0","3,679","2,883","0","6,562","4",
"Moraine Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","1,167","823","19","24","166","213","1,423","1,354","6","1","5,192","5,085","98","876","91","139","658","100","8,822","8,613","0","17,435","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,167","823","19","24","166","213","1,423","1,354","6","1","5,192","5,085","98","876","91","139","658","100","8,822","8,613","0","17,435","4",
"Morton College","","","","","","","","","","","","","","","","",
"Undergraduate","177","94","1","1","30","26","1,926","1,362","4","1","385","245","2","82","3","6","98","1","2,625","1,819","0","4,444","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","177","94","1","1","30","26","1,926","1,362","4","1","385","245","2","82","3","6","98","1","2,625","1,819","0","4,444","4",
"Oakton Community College","","","","","","","","","","","","","","","","",
"Undergraduate","367","246","13","11","962","987","651","560","89","90","3,280","2,879","113","265","0","1","312","107","5,781","5,152","0","10,933","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","367","246","13","11","962","987","651","560","89","90","3,280","2,879","113","265","0","1","312","107","5,781","5,152","0","10,933","4",
"Parkland College","","","","","","","","","","","","","","","","",
"Undergraduate","776","604","24","20","158","116","178","195","4","6","3,001","2,342","6","905","48","51","777","2","4,968","4,245","0","9,213","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","776","604","24","20","158","116","178","195","4","6","3,001","2,342","6","905","48","51","777","2","4,968","4,245","0","9,213","4",
"Prairie State College","","","","","","","","","","","","","","","","",
"Undergraduate","1,836","1,031","15","6","14","10","279","207","4","3","845","688","40","95","0","0","115","50","3,158","2,080","0","5,238","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,836","1,031","15","6","14","10","279","207","4","3","845","688","40","95","0","0","115","50","3,158","2,080","0","5,238","4",
"Rend Lake College","","","","","","","","","","","","","","","","",
"Undergraduate","138","155","10","9","26","13","26","50","0","0","2,554","1,922","0","1","0","2","0","0","2,754","2,152","0","4,906","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","138","155","10","9","26","13","26","50","0","0","2,554","1,922","0","1","0","2","0","0","2,754","2,152","0","4,906","4",
"Richland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","355","218","8","4","19","11","33","30","0","0","1,728","1,216","0","1","1","0","0","0","2,144","1,480","0","3,624","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","355","218","8","4","19","11","33","30","0","0","1,728","1,216","0","1","1","0","0","0","2,144","1,480","0","3,624","4",
"Rock Valley College","","","","","","","","","","","","","","","","",
"Undergraduate","489","276","36","16","70","68","488","360","5","5","3,533","2,780","69","71","12","7","60","82","4,775","3,652","0","8,427","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","489","276","36","16","70","68","488","360","5","5","3,533","2,780","69","71","12","7","60","82","4,775","3,652","0","8,427","4",
"Sauk Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","44","35","2","3","11","4","99","61","0","0","1,320","863","0","27","1","1","33","0","1,510","994","0","2,504","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","44","35","2","3","11","4","99","61","0","0","1,320","863","0","27","1","1","33","0","1,510","994","0","2,504","4",
"Shawnee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","231","135","5","0","3","3","27","25","1","0","1,084","600","0","3","0","0","4","0","1,355","766","0","2,121","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","231","135","5","0","3","3","27","25","1","0","1,084","600","0","3","0","0","4","0","1,355","766","0","2,121","4",
"South Suburban Coll. of Cook Co.","","","","","","","","","","","","","","","","",
"Undergraduate","3,554","1,235","9","3","34","25","369","216","5","2","661","430","7","30","0","0","75","20","4,727","1,948","0","6,675","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","3,554","1,235","9","3","34","25","369","216","5","2","661","430","7","30","0","0","75","20","4,727","1,948","0","6,675","4",
"Southeastern Illinois College","","","","","","","","","","","","","","","","",
"Undergraduate","38","65","3","1","5","5","10","16","1","2","850","641","0","178","0","2","319","0","1,226","910","0","2,136","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","38","65","3","1","5","5","10","16","1","2","850","641","0","178","0","2","319","0","1,226","910","0","2,136","4",
"Southwestern Illinois College","","","","","","","","","","","","","","","","",
"Undergraduate","1,574","917","16","12","76","50","168","112","17","9","4,503","3,764","225","279","0","1","314","257","6,925","5,369","0","12,294","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,574","917","16","12","76","50","168","112","17","9","4,503","3,764","225","279","0","1","314","257","6,925","5,369","0","12,294","4",
"Spoon River College","","","","","","","","","","","","","","","","",
"Undergraduate","48","52","4","1","8","4","6","13","0","0","1,023","693","3","0","0","0","0","2","1,091","766","0","1,857","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","48","52","4","1","8","4","6","13","0","0","1,023","693","3","0","0","0","0","2","1,091","766","0","1,857","4",
"Triton College","","","","","","","","","","","","","","","","",
"Undergraduate","1,680","833","21","24","182","160","1,598","1,175","29","27","2,352","2,099","88","731","0","0","665","101","6,628","5,137","0","11,765","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,680","833","21","24","182","160","1,598","1,175","29","27","2,352","2,099","88","731","0","0","665","101","6,628","5,137","0","11,765","4",
"Waubonsee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","422","263","6","7","136","95","1,196","920","7","4","3,156","2,529","99","123","0","0","147","154","5,224","4,040","0","9,264","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","422","263","6","7","136","95","1,196","920","7","4","3,156","2,529","99","123","0","0","147","154","5,224","4,040","0","9,264","4",
" Total Enrollment at Community Colleges","","","","","","","","","","","","","","","","",
"Undergraduate","34,504","20,437","562","465","6,806","6,228","24,753","18,667","463","402","112,484","90,293","2,043","7,288","359","397","7,987","2,401","190,319","146,220","0","336,539","11",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12",
"Sector Total","34,504","20,437","562","465","6,806","6,228","24,753","18,667","463","402","112,484","90,293","2,043","7,288","359","397","7,987","2,401","190,319","146,220","0","336,539","14",
" Independent NFP Institutions:","","","","","","","","","","","","","","","","",
"Adler University","","","","","","","","","","","","","","","","",
"Undergraduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",
"Graduate","84","17","1","2","32","7","45","22","0","0","465","131","4","4","29","4","68","20","728","207","0","935","2",
"Total","84","17","1","2","32","7","45","22","0","0","465","131","4","4","29","4","68","20","728","207","0","935","4",
"American Academy of Art","","","","","","","","","","","","","","","","",
"Undergraduate","15","37","0","1","10","5","51","56","1","5","161","106","8","5","0","0","0","0","246","215","0","461","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","15","37","0","1","10","5","51","56","1","5","161","106","8","5","0","0","0","0","246","215","0","461","4",
"Augustana College","","","","","","","","","","","","","","","","",
"Undergraduate","34","27","3","4","27","23","62","42","4","3","1,157","842","28","16","14","18","132","96","1,461","1,071","0","2,532","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
