"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
" Public Universities:","","","","","","","","","","","","","","","","",
"Chicago State University","","","","","","","","","","","","","","","","",
"Undergraduate","3,240","1,180","5","4","22","19","254","117","0","0","59","92","0","0","1","2","202","83","3,783","1,497","0","5,280","1",
"Graduate","726","257","1","2","87","61","68","32","0","0","179","114","0","0","1","0","46","28","1,108","494","0","1,602","2",
"Total","3,966","1,437","6","6","109","80","322","149","0","0","238","206","0","0","2","2","248","111","4,891","1,991","0","6,882","4",
"Eastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","887","511","19","12","37","38","195","166","4","1","4,213","2,953","64","40","25","31","254","207","5,698","3,959","0","9,657","1",
"Graduate","74","32","1","1","13","8","7","11","0","0","755","489","7","1","44","49","13","16","914","607","0","1,521","2",
"Total","961","543","20","13","50","46","202","177","4","1","4,968","3,442","71","41","69","80","267","223","6,612","4,566","0","11,178","4",
"Governors State University","","","","","","","","","","","","","","","","",
"Undergraduate","867","222","8","2","31","21","170","89","0","0","841","523","8","6","6","3","90","56","2,021","922","0","2,943","1",
"Graduate","778","188","4","1","34","12","110","44","2","2","840","329","21","4","41","50","61","25","1,891","655","0","2,546","2",
"Total","1,645","410","12","3","65","33","280","133","2","2","1,681","852","29","10","47","53","151","81","3,912","1,577","0","5,489","4",
"Illinois State University","","","","","","","","","","","","","","","","",
"Undergraduate","664","454","23","21","169","149","596","489","16","7","8,436","6,857","146","124","71","70","141","161","10,262","8,332","0","18,594","1",
"Graduate","76","35","3","4","29","27","58","35","0","2","1,383","749","12","8","134","115","29","17","1,724","992","0","2,716","2",
"Total","740","489","26","25","198","176","654","524","16","9","9,819","7,606","158","132","205","185","170","178","11,986","9,324","0","21,310","4",
"Northeastern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","601","331","12","11","457","432","1,777","1,233","13","10","1,925","1,797","69","43","231","177","156","146","5,241","4,180","0","9,421","1",
"Graduate","112","60","4","4","70","34","211","75","1","2","754","407","6","5","52","54","185","123","1,395","764","0","2,159","2",
"Total","713","391","16","15","527","466","1,988","1,308","14","12","2,679","2,204","75","48","283","231","341","269","6,636","4,944","0","11,580","4",
"Northern Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","1,549","1,091","16","13","338","488","944","903","8","15","5,324","5,673","153","160","70","115","235","211","8,637","8,669","0","17,306","1",
"Graduate","239","138","4","2","141","135","198","119","1","2","2,373","1,648","29","37","201","303","63","51","3,249","2,435","0","5,684","2",
"Total","1,788","1,229","20","15","479","623","1,142","1,022","9","17","7,697","7,321","182","197","271","418","298","262","11,886","11,104","0","22,990","4",
"Southern Illinois University Carbondale","","","","","","","","","","","","","","","","",
"Undergraduate","1,787","1,457","32","37","91","174","337","441","11","23","4,092","5,726","179","186","111","234","24","58","6,664","8,336","0","15,000","1",
